task,method,seed,stage_idx,lambda,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,11,0,0.0,1177.6350763261435,0.011499137542223536,287.53228091079495,,,,1159.5520050220393,0.008581052014500101,286.99345602906965,2.323427700001048,140,4.0,402.7865999887581,18.78749999741558,0,0,48.39591643312566,20.013496820611348,36.88494939877047,116.58876091014149,0.0,0.0,0.33640045668959107,6.900089806804138,cpu,,0.19708425389635456,0.19963712961756255,,,,,0.1646369111070259,0.1664145971217194,8.294199993542861,0.0,10.493300003872719,2.323427700001048
medical_resource_allocation,fpto,11,1,0.5,1177.6311086790256,0.011498168306632306,287.5241005385022,,,,1159.5484631698228,0.008580358689749379,286.9853039844463,2.3322237000029418,140,4.0,425.069099990651,12.482899997849017,0,0,48.39776993060047,20.01346385396201,36.885608302821794,116.59515788400932,0.0,0.0,0.336414317485479,6.900108948032781,cpu,,0.19708365190239613,0.19963645700709273,,,,,0.16463649101647349,0.16641412974823622,4.8932999998214655,0.0,7.589599998027552,4.65565140000399
medical_resource_allocation,fpto,11,2,1.0,1177.623156543188,0.011497091089023637,287.5147630988627,,,,1159.54116972687,0.008579599557739237,286.9759964800356,2.3746649000022444,140,4.0,455.09220001258655,10.768100000859704,0,0,48.39989154643577,20.013430893141013,36.886283351295205,116.60198401785695,0.0,0.0,0.3364289089290347,6.900128969775164,cpu,,0.19708241226609138,0.19963510893110142,,,,,0.16463562595745768,0.1664131930158165,3.669500001706183,0.0,7.098599999153521,7.030316300006234
medical_resource_allocation,fpto,11,3,5.0,1177.5873764135567,0.011489438560672749,287.449971666639,,,,1159.5098023833743,0.008574214774137223,286.91142219425484,2.3265627000000677,140,4.0,419.14039999392116,12.763400001858827,0,0,48.41452769988931,20.01316741639683,36.891580226937904,116.65677983802661,0.0,0.0,0.3365583878518377,6.9002827995668605,cpu,,0.1970770808885742,0.19962904334888454,,,,,0.16463190552632295,0.16640897822180103,4.871500001172535,0.0,7.891900000686292,9.356879000006302
medical_resource_allocation,fpto,22,0,0.0,1113.5296043764838,0.012360656669311743,295.68427790815934,,,,1100.5750176127567,0.009072407451668374,296.20649965899366,2.3386490999982925,140,4.0,414.60559999541147,13.2274999996298,0,0,46.90110348270571,20.240701887503654,35.98343483875708,113.85844260149166,0.0,0.0,0.1985601094535029,6.952142934388434,cpu,,0.1870601795035961,0.1887697287816988,,,,,0.15758272641393867,0.158794192189902,7.098499998392072,0.0,6.129000001237728,2.3386490999982925
medical_resource_allocation,fpto,22,1,0.5,1113.5161335149214,0.012359822927064834,295.67772733107387,,,,1100.5618002730444,0.00907180764251958,296.19998423376927,2.2996952000030433,140,4.0,403.69510003802134,11.120600007416215,0,0,46.90256804027896,20.24060992253134,35.98378685382235,113.8655292886567,0.0,0.0,0.19857281376258265,6.952156867672206,cpu,,0.1870579330070833,0.18876744515055544,,,,,0.1575811321467889,0.15879257622726062,5.026400001952425,0.0,6.09420000546379,4.638344300001336
medical_resource_allocation,fpto,22,2,1.0,1113.505585237017,0.012359111187808636,295.6723390633307,,,,1100.5515130483382,0.009071295666637669,296.1946321317554,2.333149799997045,140,4.0,420.89860000123736,13.327999993634876,0,0,46.903774213604,20.240517962246525,35.98407354769499,113.8727879492226,0.0,0.0,0.1985871364677622,6.952168875359197,cpu,,0.18705618453008777,0.18876565696679157,,,,,0.1575798913040805,0.15879131085300588,6.928499999048654,0.0,6.399499994586222,6.971494099998381
medical_resource_allocation,fpto,22,3,5.0,1113.4005394024716,0.012352586443196811,295.62171918982546,,,,1100.4489537901782,0.00906659885323402,296.1443390221889,2.345477299997583,140,4.0,419.2221999692265,10.259499998937827,0,0,46.91510221302666,20.239782448725393,35.98652058304323,113.92735829927085,0.0,0.0,0.19871140417678515,6.952276121186855,cpu,,0.18703875295756053,0.18874784920162857,,,,,0.15756752042976277,0.15877870931871124,4.881699998804834,0.0,5.377800000132993,9.316971399995964
medical_resource_allocation,fpto,33,0,0.0,1165.7872239934677,0.008070879900697325,248.8598105481965,,,,1146.9584373889084,0.006557149358779046,249.76366454914233,2.3228320999987773,140,4.0,412.76739997556433,8.280499998363666,0,0,56.14007797925653,22.03033246087981,42.88814641790771,120.99518107140136,0.0,0.0,0.4736214801772255,6.989155539504016,cpu,,0.19494377734151325,0.1976286371062771,,,,,0.16314054354525384,0.16501662617536392,3.6353999967104755,0.0,4.645100001653191,2.3228320999987773
medical_resource_allocation,fpto,33,1,0.5,1165.7919548857226,0.008069620042685965,248.84872622037602,,,,1146.9632671300524,0.0065563332745243175,249.75271232739223,2.3131214999957592,140,4.0,406.0267999811913,9.71630000276491,0,0,56.142682615513884,22.03037935546031,42.88962734515624,121.00133955855803,0.0,0.0,0.47364227894112104,6.989186486613146,cpu,,0.194944598232621,0.19762943910493463,,,,,0.16314111844260662,0.16501718532623563,3.690899997309316,0.0,6.0254000054555945,4.6359535999945365
