method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,train_fair_std,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.13152,0.00013,0.13217,7e-05,0.00566,0.00018,0.0065,0.00019,120.71253,124.32774,5,0,0
fdfl-scal,0.5,0.13152,0.00013,0.13217,7e-05,0.00566,0.00018,0.0065,0.00019,120.71256,124.32779,5,0,0
fdfl-scal,1.0,0.13152,0.00013,0.13217,7e-05,0.00566,0.00018,0.0065,0.00019,120.71258,124.32796,5,0,0
fdfl-scal,5.0,0.13152,0.00013,0.13217,7e-05,0.00566,0.00018,0.0065,0.00019,120.71287,124.32868,5,0,0
fplg,0.0,0.1317,0.00049,0.13254,0.00038,0.00584,0.00021,0.00723,0.0002,144.96087,147.95971,5,0,0
fplg,0.5,0.12554,0.00014,0.12812,8e-05,0.00693,0.00022,0.00745,0.00021,123.15053,126.92393,5,0,0
fplg,1.0,0.12401,0.00016,0.1277,4e-05,0.00728,0.00014,0.00734,0.00017,120.67106,125.02965,5,0,0
fplg,5.0,0.12307,0.0002,0.12748,7e-05,0.0073,0.00013,0.00734,0.00015,119.73221,124.54812,5,0,0
fpto,0.0,0.1978,0.00767,0.19565,0.00757,0.00923,0.0027,0.00713,0.00168,263.67029,264.38006,5,0,0
fpto,0.5,0.1978,0.00767,0.19565,0.00758,0.00923,0.0027,0.00713,0.00168,263.66124,264.37111,5,0,0
fpto,1.0,0.1978,0.00768,0.19565,0.00758,0.00923,0.0027,0.00713,0.00168,263.65213,264.3621,5,0,0
fpto,5.0,0.1978,0.00769,0.19565,0.00759,0.00922,0.0027,0.00712,0.00167,263.58178,264.29255,5,0,0
mgda,0.0,0.16475,0.00534,0.16413,0.00549,0.01411,0.0003,0.01078,0.00024,361.57522,362.5446,5,0,0
pcgrad,0.0,0.12398,0.00021,0.12852,0.00018,0.00489,0.00023,0.00911,0.00089,124.69648,129.07034,5,0,0
saa,0.0,0.28024,0.0,0.27893,0.0,0.01138,0.0,0.00761,0.0,247.80422,248.68791,5,0,0
wdro,0.0,0.1926,0.00921,0.19054,0.00922,0.00546,0.0001,0.00561,0.00043,197.6156,199.12883,5,0,0
