method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,train_fair_std,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07524,0.00137,0.07521,0.00143,2.54491,0.00359,2.33715,0.00411,395.18172,396.21098,5,0,0
fdfl-scal,0.5,0.0752,0.00137,0.07517,0.00143,2.54478,0.00361,2.33702,0.00413,395.16428,396.19339,5,0,0
fdfl-scal,1.0,0.07516,0.00137,0.07513,0.00143,2.54465,0.00362,2.33688,0.00415,395.14673,396.17569,5,0,0
fdfl-scal,5.0,0.07485,0.00137,0.07482,0.00142,2.54355,0.00379,2.33577,0.00432,395.00196,396.02969,5,0,0
fplg,0.0,0.07545,0.00139,0.07542,0.00146,2.54543,0.00356,2.33773,0.00406,395.45902,396.49094,5,0,0
fplg,0.5,0.07519,0.00136,0.07516,0.00142,2.54475,0.00357,2.337,0.00409,395.26042,396.29031,5,0,0
fplg,1.0,0.07493,0.00134,0.07489,0.0014,2.54404,0.0036,2.33624,0.00413,395.05921,396.08705,5,0,0
fplg,5.0,0.07467,0.00132,0.07463,0.00137,2.54331,0.00365,2.33547,0.00418,394.85658,395.88238,5,0,0
fpto,0.0,0.05971,0.00191,0.06024,0.00207,1.60982,0.39918,1.3792,0.39747,263.67029,264.38006,5,0,0
fpto,0.5,0.05976,0.00196,0.0603,0.00212,1.59152,0.4056,1.36095,0.40367,262.50088,263.21849,5,0,0
fpto,1.0,0.05982,0.00201,0.06036,0.00217,1.57286,0.41202,1.34234,0.40986,261.3269,262.05257,5,0,0
fpto,5.0,0.06032,0.00241,0.0609,0.00256,1.41224,0.46373,1.18228,0.45963,251.97112,252.76762,5,0,0
mgda,0.0,0.07571,0.00142,0.07568,0.00149,2.54608,0.00357,2.33842,0.00404,395.65221,396.68612,5,0,0
pcgrad,0.0,0.05962,0.0017,0.06017,0.00187,1.57193,0.41223,1.34205,0.40894,261.21154,261.95087,5,0,0
saa,0.0,0.07525,0.0,0.07517,0.0,2.54601,0.0,2.33812,0.0,247.80422,248.68791,5,0,0
wdro,0.0,0.05991,0.00168,0.06056,0.00178,0.66197,0.22463,0.43541,0.20666,197.6156,199.12883,5,0,0
