method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,train_fair_std,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07524,0.00137,0.07521,0.00143,0.00289,0.00228,0.00319,0.00256,395.18172,396.21098,5,0,0
fdfl-scal,0.5,0.07524,0.00134,0.07521,0.0014,0.00281,0.00221,0.00311,0.00249,395.18284,396.21217,5,0,0
fdfl-scal,1.0,0.07524,0.00131,0.07521,0.00137,0.00274,0.00214,0.00303,0.00241,395.1841,396.2135,5,0,0
fdfl-scal,5.0,0.07525,0.00108,0.07521,0.00114,0.00215,0.00159,0.00241,0.00183,395.19659,396.22653,5,0,0
fplg,0.0,0.07545,0.00139,0.07542,0.00146,0.00281,0.00212,0.00315,0.00235,395.45902,396.49094,5,0,0
fplg,0.5,0.07519,0.00136,0.07516,0.00142,0.00292,0.00231,0.0032,0.00259,395.26024,396.29013,5,0,0
fplg,1.0,0.07493,0.00134,0.07489,0.0014,0.00315,0.00258,0.0034,0.00286,395.05862,396.08646,5,0,0
fplg,5.0,0.07467,0.00132,0.07463,0.00137,0.00345,0.00294,0.0037,0.00321,394.8537,395.87947,5,0,0
fpto,0.0,0.05971,0.00191,0.06024,0.00207,0.93619,0.39918,0.95892,0.39747,263.67029,264.38006,5,0,0
fpto,0.5,0.05967,0.00186,0.06019,0.00202,0.91905,0.39277,0.94182,0.39125,264.76451,265.4672,5,0,0
fpto,1.0,0.05962,0.00181,0.06014,0.00197,0.90219,0.38637,0.92499,0.38503,265.85724,266.55292,5,0,0
fpto,5.0,0.05935,0.00141,0.05983,0.00157,0.77674,0.33648,0.79969,0.33647,274.51293,275.15818,5,0,0
mgda,0.0,0.07571,0.00142,0.07569,0.00149,0.00285,0.00195,0.00322,0.00216,395.65312,396.68705,5,0,0
pcgrad,0.0,0.07023,0.00197,0.07006,0.00186,0.00245,0.00155,0.01545,0.00773,360.55707,361.18689,5,0,0
saa,0.0,0.07525,0.0,0.07517,0.0,0.001,0.0,0.001,0.0,247.80422,248.68791,5,0,0
wdro,0.0,0.05991,0.00168,0.06056,0.00178,1.88405,0.22463,1.90271,0.20666,197.6156,199.12883,5,0,0
