fairness_type,alpha,method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap
atkinson,0.5,pcgrad,0.0,0.06008,0.00181,0.00704,0.00158,0.05953,0.00911,0.00055
atkinson,0.5,fpto,0.0,0.06024,0.00207,0.00713,0.00168,0.05971,0.00923,0.00053
atkinson,0.5,wdro,0.0,0.06056,0.00178,0.00561,0.00043,0.05991,0.00546,0.00065
atkinson,0.5,fplg,5.0,0.07463,0.00137,0.01257,3e-05,0.07467,0.01635,-4e-05
atkinson,0.5,saa,0.0,0.07517,0.0,0.00761,0.0,0.07525,0.01138,-8e-05
atkinson,0.5,fdfl-scal,5.0,0.0752,0.00143,0.01258,3e-05,0.07524,0.01636,-3e-05
atkinson,0.5,mgda,0.0,0.07569,0.00149,0.01259,3e-05,0.07571,0.01636,-2e-05
atkinson,2.0,fplg,5.0,0.12748,7e-05,0.00734,0.00015,0.12307,0.0073,0.00441
atkinson,2.0,pcgrad,0.0,0.12852,0.00018,0.00911,0.00089,0.12398,0.00489,0.00453
atkinson,2.0,fdfl-scal,0.0,0.13217,7e-05,0.0065,0.00019,0.13152,0.00566,0.00065
atkinson,2.0,mgda,0.0,0.16413,0.00549,0.01078,0.00024,0.16475,0.01411,-0.00061
atkinson,2.0,wdro,0.0,0.19054,0.00922,0.00561,0.00043,0.1926,0.00546,-0.00206
atkinson,2.0,fpto,0.0,0.19565,0.00757,0.00713,0.00168,0.1978,0.00923,-0.00215
atkinson,2.0,saa,0.0,0.27893,0.0,0.00761,0.0,0.28024,0.01138,-0.00132
bias_parity,0.5,pcgrad,0.0,0.06017,0.00187,1.34205,0.40894,0.05962,1.57193,0.00055
bias_parity,0.5,fpto,0.0,0.06024,0.00207,1.3792,0.39747,0.05971,1.60982,0.00053
bias_parity,0.5,wdro,0.0,0.06056,0.00178,0.43541,0.20666,0.05991,0.66197,0.00065
bias_parity,0.5,fplg,5.0,0.07463,0.00137,2.33547,0.00418,0.07467,2.54331,-4e-05
bias_parity,0.5,fdfl-scal,5.0,0.07482,0.00142,2.33577,0.00432,0.07485,2.54355,-4e-05
bias_parity,0.5,saa,0.0,0.07517,0.0,2.33812,0.0,0.07525,2.54601,-8e-05
bias_parity,0.5,mgda,0.0,0.07568,0.00149,2.33842,0.00404,0.07571,2.54608,-2e-05
bias_parity,2.0,fplg,5.0,0.12739,7e-05,0.31701,0.00478,0.12288,0.34332,0.00451
bias_parity,2.0,pcgrad,0.0,0.12806,0.00024,0.05577,0.02084,0.12302,0.03671,0.00504
bias_parity,2.0,fdfl-scal,5.0,0.13187,8e-05,0.46462,0.01371,0.13108,0.53204,0.00079
bias_parity,2.0,mgda,0.0,0.16271,0.00349,2.0665,0.0284,0.16326,2.27699,-0.00055
bias_parity,2.0,wdro,0.0,0.19054,0.00922,0.43541,0.20666,0.1926,0.66197,-0.00206
bias_parity,2.0,fpto,0.0,0.19565,0.00757,1.3792,0.39747,0.1978,1.60982,-0.00215
bias_parity,2.0,saa,0.0,0.27893,0.0,2.33812,0.0,0.28024,2.54601,-0.00132
dp,0.5,fpto,5.0,0.05983,0.00157,0.79969,0.33647,0.05935,0.77674,0.00048
dp,0.5,wdro,0.0,0.06056,0.00178,1.90271,0.20666,0.05991,1.88405,0.00065
dp,0.5,pcgrad,0.0,0.07006,0.00186,0.01545,0.00773,0.07023,0.00245,-0.00016
dp,0.5,fplg,5.0,0.07463,0.00137,0.0037,0.00321,0.07467,0.00345,-4e-05
dp,0.5,saa,0.0,0.07517,0.0,0.001,0.0,0.07525,0.001,-8e-05
dp,0.5,fdfl-scal,1.0,0.07521,0.00137,0.00303,0.00241,0.07524,0.00274,-4e-05
dp,0.5,mgda,0.0,0.07569,0.00149,0.00322,0.00216,0.07571,0.00285,-2e-05
dp,2.0,fplg,5.0,0.12759,8e-05,1.72426,0.00708,0.12321,1.86448,0.00438
dp,2.0,fdfl-scal,0.0,0.13217,7e-05,1.71092,0.01431,0.13152,1.83297,0.00065
dp,2.0,pcgrad,0.0,0.13414,0.00167,0.49294,0.1095,0.12935,0.32297,0.00479
dp,2.0,mgda,0.0,0.16214,0.00424,0.26001,0.02811,0.16269,0.25719,-0.00055
dp,2.0,wdro,0.0,0.19054,0.00922,1.90271,0.20666,0.1926,1.88405,-0.00206
dp,2.0,fpto,1.0,0.19563,0.00717,0.92499,0.38503,0.19779,0.90219,-0.00216
dp,2.0,saa,0.0,0.27893,0.0,0.001,0.0,0.28024,0.001,-0.00132
mad,0.5,fpto,5.0,0.05292,0.0007,31.6318,10.22621,0.05125,4.31598,0.00167
mad,0.5,pcgrad,0.0,0.05759,0.00119,30.70706,1.33307,0.05674,25.92822,0.00085
mad,0.5,wdro,0.0,0.06056,0.00178,33.57356,1.26747,0.05991,32.87892,0.00065
mad,0.5,fdfl-scal,1.0,0.06513,0.00348,99.24904,5.25088,0.06498,116.13463,0.00015
mad,0.5,fplg,5.0,0.0743,0.00134,106.45744,0.54346,0.07433,124.4059,-4e-05
mad,0.5,saa,0.0,0.07517,0.0,49.92568,0.0,0.07525,62.86619,-8e-05
mad,0.5,mgda,0.0,0.07568,0.00149,106.81623,0.4985,0.07571,124.79447,-2e-05
mad,2.0,fplg,1.0,0.12745,7e-05,24.58078,0.30003,0.12329,21.03554,0.00416
mad,2.0,pcgrad,0.0,0.12953,0.00014,28.16145,2.07576,0.12541,16.31131,0.00412
mad,2.0,fdfl-scal,0.0,0.13217,7e-05,22.80485,0.37696,0.13152,20.48218,0.00065
mad,2.0,mgda,0.0,0.13662,0.00183,33.42809,0.96293,0.13464,31.44839,0.00199
mad,2.0,fpto,5.0,0.16395,0.00412,31.6318,10.22621,0.16406,4.31598,-0.00011
mad,2.0,wdro,0.0,0.19054,0.00922,33.57356,1.26747,0.1926,32.87892,-0.00206
mad,2.0,saa,0.0,0.27893,0.0,49.92568,0.0,0.28024,62.86619,-0.00132
