task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm
medical_resource_allocation,fpto,11,0,0.0,0,1.0,0.0,0.0005,1669.9641156679836,396.54389311836314,124.94772339778557,1e-06,20.013496820611348,6.795162979486096,20.013496820611348,0.010006748410305659,0.0,0.0,0.8826525972336059,2,5.388500001572538,0,0,0,cpu,,,,,,0.28309860101683715,0.22063666875833673,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,5,1.0,0.0,0.0004987531172069826,1641.6182099457983,395.49137495008483,124.62802732613481,1e-06,21.192759509228225,7.395456355346476,21.192759509228225,0.010569954867445485,0.0,0.0,0.8835370368803028,2,4.480899995542131,0,0,0,cpu,,,,,,0.2782932964122553,0.21770691999506853,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,10,1.0,0.0,0.0004975124378109454,1613.69228589657,394.3056854316321,124.25706061230204,1e-06,22.622870212178597,8.15367773822731,22.622870212178597,0.011255159309541584,0.0,0.0,0.8836395813608955,2,5.623299999570008,0,0,0,cpu,,,,,,0.2735591886812777,0.2147989595713552,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,15,1.0,0.0,0.0004962779156327543,1585.5247650796127,392.946961331082,123.81573043308742,1e-06,24.368008592040894,9.167601832630078,24.368008592040894,0.01209330451217909,0.0,0.0,0.8822889814593019,2,5.111800004669931,0,0,0,cpu,,,,,,0.26878412455709827,0.21184385850581497,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,20,1.0,0.0,0.0004950495049504951,1556.4127820751291,391.359238471531,123.27719805643004,1e-06,26.533372855244888,10.45002414917696,26.533372855244888,0.01313533309665587,0.0,0.0,0.8813411633613697,2,4.9625000028754584,0,0,0,cpu,,,,,,0.2638489516488477,0.20876620683557479,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,25,1.0,0.0,0.0004938271604938272,1525.5468689487207,389.45846959176436,122.60083707289617,1e-06,29.28155961291455,12.138924560288334,29.28155961291455,0.01446002943847631,0.0,0.0,0.8802477937382717,2,3.839700002572499,0,0,0,cpu,,,,,,0.25861644590623284,0.20547677312449467,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,30,1.0,0.0,0.0004926108374384237,1492.0609238676943,387.1177191418947,121.72526842334183,1e-06,32.80660751999352,14.30658711811511,32.80660751999352,0.016160890403937686,0.0,0.0,0.8798215045855798,2,8.41299999592593,0,0,0,cpu,,,,,,0.25293978248740645,0.2018770463056542,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,35,1.0,0.0,0.0004914004914004914,1455.044462101433,384.13899077068425,120.55321000190094,1e-06,37.39483421377098,17.178200767170466,37.39483421377098,0.018375839908486954,0.0,0.0,0.8795135868993266,2,8.453900001768488,0,0,0,cpu,,,,,,0.24666461259465094,0.19785964091919978,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,40,1.0,0.0,0.0004901960784313725,1413.8361042932293,380.2130847212962,118.92624023481577,1e-06,43.37764435138278,20.926670923287904,43.37764435138278,0.021263551152638605,0.0,0.0,0.8802702536733034,2,7.006699997873511,0,0,0,cpu,,,,,,0.23967881671062538,0.19333944686301188,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,45,1.0,0.0,0.000488997555012225,1368.346966349367,374.85905278897434,116.60336269194676,1e-06,51.173988657173226,25.74791728163423,51.173988657173226,0.02502395533358104,0.0,0.0,0.8813060452157655,2,8.359500003280118,0,0,0,cpu,,,,,,0.2319673268692894,0.18829016144346244,,,,,,,,,,,,,,,
