method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,train_fair_std,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.13152,0.00013,0.13217,7e-05,20.48218,0.39806,22.80485,0.37696,120.71253,124.32774,5,0,0
fdfl-scal,0.5,0.13182,0.00011,0.13249,9e-05,18.61773,0.37308,22.2903,0.35866,120.47212,124.25852,5,0,0
fdfl-scal,1.0,0.13224,0.0001,0.13292,0.00011,16.97361,0.35568,21.89994,0.33146,120.44023,124.38815,5,0,0
fdfl-scal,5.0,0.13624,0.00067,0.13686,0.00057,2.95752,1.77094,37.74168,6.1534,134.8698,138.52082,5,0,0
fplg,0.0,0.1317,0.00049,0.13254,0.00038,25.02306,0.6153,28.85043,0.69583,144.96087,147.95971,5,0,0
fplg,0.5,0.12523,0.00015,0.12802,6e-05,22.05629,0.37745,25.07386,0.41206,123.45072,127.38899,5,0,0
fplg,1.0,0.12329,0.00017,0.12745,7e-05,21.03554,0.22625,24.58078,0.30003,121.55434,126.19118,5,0,0
fplg,5.0,0.12183,0.00022,0.12773,0.00016,19.56309,0.24802,26.12633,0.26682,123.69498,128.79505,5,0,0
fpto,0.0,0.1978,0.00767,0.19565,0.00757,59.65776,16.70764,51.47929,12.4308,263.67029,264.38006,5,0,0
fpto,0.5,0.19615,0.00933,0.19424,0.00929,31.25025,1.09876,33.41315,1.68584,200.37225,202.01335,5,0,0
fpto,1.0,0.18457,0.00672,0.18303,0.00672,26.70971,0.91633,31.18153,1.32502,185.32527,187.33422,5,0,0
fpto,5.0,0.16406,0.00405,0.16395,0.00412,4.31598,2.46203,31.6318,10.22621,168.13892,167.12614,5,0,0
mgda,0.0,0.13464,0.00204,0.13662,0.00183,31.44839,1.39026,33.42809,0.96293,211.80861,214.77206,5,0,0
pcgrad,0.0,0.12541,0.00036,0.12953,0.00014,16.31131,0.28532,28.16145,2.07576,122.69639,127.33275,5,0,0
saa,0.0,0.28024,0.0,0.27893,0.0,62.86619,0.0,49.92568,0.0,247.80422,248.68791,5,0,0
wdro,0.0,0.1926,0.00921,0.19054,0.00922,32.87892,1.54246,33.57356,1.26747,197.6156,199.12883,5,0,0
