variant,method,alpha,fairness_type,rel_fair_mean,rel_fair_std,n_seeds
a,fdfl-scal,0.5,atkinson,2.671,0.3827,3
a,fdfl-scal,0.5,bias_parity,3.2065,0.2689,3
a,fdfl-scal,0.5,dp,0.0012,0.0006,3
a,fdfl-scal,0.5,mad,4.0253,0.8037,3
a,fdfl-scal,2.0,atkinson,1.2103,0.1646,3
a,fdfl-scal,2.0,bias_parity,0.9262,0.1069,3
a,fdfl-scal,2.0,dp,0.9922,0.051,3
a,fdfl-scal,2.0,mad,0.9455,0.0856,3
a,fplg,0.5,atkinson,2.6681,0.3836,3
a,fplg,0.5,bias_parity,3.204,0.2695,3
a,fplg,0.5,dp,0.0027,0.001,3
a,fplg,0.5,mad,4.9847,0.4761,3
a,fplg,2.0,atkinson,1.3825,0.1615,3
a,fplg,2.0,bias_parity,0.6899,0.1309,3
a,fplg,2.0,dp,1.0915,0.0414,3
a,fplg,2.0,mad,1.0498,0.0888,3
a,fpto,0.5,atkinson,1.0,0.0,3
a,fpto,0.5,bias_parity,0.8304,0.0152,3
a,fpto,0.5,dp,1.0,0.0,3
a,fpto,0.5,mad,0.8949,0.0608,3
a,fpto,2.0,atkinson,1.0,0.0,3
a,fpto,2.0,bias_parity,0.8304,0.0152,3
a,fpto,2.0,dp,1.0,0.0,3
a,fpto,2.0,mad,0.926,0.0334,3
a,mgda,0.5,atkinson,2.6717,0.3819,3
a,mgda,0.5,bias_parity,3.2104,0.268,3
a,mgda,0.5,dp,0.0009,0.0001,3
a,mgda,0.5,mad,5.0101,0.4725,3
a,mgda,2.0,atkinson,2.2796,0.3204,3
a,mgda,2.0,bias_parity,2.7961,0.2764,3
a,mgda,2.0,dp,0.1554,0.0155,3
a,mgda,2.0,mad,1.1877,0.1585,3
a,pcgrad,0.5,atkinson,0.993,0.0111,3
a,pcgrad,0.5,bias_parity,0.4467,0.0539,3
a,pcgrad,0.5,dp,0.0453,0.0463,3
a,pcgrad,0.5,mad,0.9053,0.0686,3
a,pcgrad,2.0,atkinson,1.7209,0.6029,3
a,pcgrad,2.0,bias_parity,0.5932,0.2454,3
a,pcgrad,2.0,dp,0.1713,0.1397,3
a,pcgrad,2.0,mad,1.1982,0.2602,3
a,saa,0.5,atkinson,1.7314,0.2916,3
a,saa,0.5,bias_parity,3.2097,0.2679,3
a,saa,0.5,dp,0.0006,0.0,3
a,saa,0.5,mad,2.425,0.259,3
a,saa,2.0,atkinson,1.7314,0.2916,3
a,saa,2.0,bias_parity,3.2097,0.2679,3
a,saa,2.0,dp,0.0006,0.0,3
a,saa,2.0,mad,2.425,0.259,3
a,wdro,0.5,atkinson,0.8848,0.091,3
a,wdro,0.5,bias_parity,1.194,0.0158,3
a,wdro,0.5,dp,0.9109,0.0175,3
a,wdro,0.5,mad,0.8705,0.0582,3
a,wdro,2.0,atkinson,0.8848,0.091,3
a,wdro,2.0,bias_parity,1.194,0.0158,3
a,wdro,2.0,dp,0.9109,0.0175,3
a,wdro,2.0,mad,0.8705,0.0582,3
b,fdfl-scal,0.5,atkinson,2.4455,0.1384,2
b,fdfl-scal,0.5,bias_parity,2.684,0.2328,2
b,fdfl-scal,0.5,dp,0.0039,0.0039,2
b,fdfl-scal,0.5,mad,4.3996,0.1149,2
b,fdfl-scal,2.0,atkinson,1.0927,0.0279,2
b,fdfl-scal,2.0,bias_parity,0.7682,0.0257,2
b,fdfl-scal,2.0,dp,1.0873,0.0039,2
b,fdfl-scal,2.0,mad,1.0287,0.0265,2
b,fplg,0.5,atkinson,2.437,0.1375,2
b,fplg,0.5,bias_parity,2.6799,0.2334,2
b,fplg,0.5,dp,0.0078,0.004,2
b,fplg,0.5,mad,5.3095,0.2064,2
b,fplg,2.0,atkinson,1.267,0.0426,2
b,fplg,2.0,bias_parity,0.6019,0.0279,2
b,fplg,2.0,dp,1.2062,0.0015,2
b,fplg,2.0,mad,1.1389,0.0347,2
b,fpto,0.5,atkinson,1.0,0.0,2
b,fpto,0.5,bias_parity,0.8294,0.0207,2
b,fpto,0.5,dp,1.0,0.0,2
b,fpto,0.5,mad,1.0,0.0,2
b,fpto,2.0,atkinson,1.0,0.0,2
b,fpto,2.0,bias_parity,0.8294,0.0207,2
b,fpto,2.0,dp,1.0,0.0,2
b,fpto,2.0,mad,1.0,0.0,2
b,mgda,0.5,atkinson,2.449,0.1384,2
b,mgda,0.5,bias_parity,2.693,0.2346,2
b,mgda,0.5,dp,0.0032,0.0,2
b,mgda,0.5,mad,5.3733,0.2101,2
b,mgda,2.0,atkinson,2.1836,0.0945,2
b,mgda,2.0,bias_parity,2.5012,0.2942,2
b,mgda,2.0,dp,0.1243,0.0079,2
b,mgda,2.0,mad,0.6071,0.6889,2
b,pcgrad,0.5,atkinson,0.9661,0.0123,2
b,pcgrad,0.5,bias_parity,0.3646,0.02,2
b,pcgrad,0.5,dp,0.1979,0.0222,2
b,pcgrad,0.5,mad,0.9281,0.0303,2
b,pcgrad,2.0,atkinson,1.1576,0.0334,2
b,pcgrad,2.0,bias_parity,0.4283,0.1145,2
b,pcgrad,2.0,dp,0.4865,0.0939,2
b,pcgrad,2.0,mad,1.0724,0.062,2
b,saa,0.5,atkinson,1.617,0.0869,2
b,saa,0.5,bias_parity,2.6935,0.2422,2
b,saa,0.5,dp,0.0006,0.0,2
b,saa,0.5,mad,2.6369,0.0781,2
b,saa,2.0,atkinson,1.617,0.0869,2
b,saa,2.0,bias_parity,2.6935,0.2422,2
b,saa,2.0,dp,0.0006,0.0,2
b,saa,2.0,mad,2.6369,0.0781,2
b,wdro,0.5,atkinson,0.922,0.0089,2
b,wdro,0.5,bias_parity,1.0332,0.0223,2
b,wdro,0.5,dp,0.9792,0.0161,2
b,wdro,0.5,mad,0.9499,0.0096,2
b,wdro,2.0,atkinson,0.922,0.0089,2
b,wdro,2.0,bias_parity,1.0332,0.0223,2
b,wdro,2.0,dp,0.9792,0.0161,2
b,wdro,2.0,mad,0.9499,0.0096,2
