variant,method,alpha,fairness_type,rel_fair_mean,rel_fair_std,n_seeds
a,fdfl-scal,0.5,atkinson,1.5305,0.0466,5
a,fdfl-scal,0.5,bias_parity,0.9986,0.0016,5
a,fdfl-scal,0.5,dp,3.168,3.0438,5
a,fdfl-scal,0.5,mad,1.752,0.3391,5
a,fdfl-scal,2.0,atkinson,0.6969,0.0469,5
a,fdfl-scal,2.0,bias_parity,0.2894,0.0422,5
a,fdfl-scal,2.0,dp,1732.109,137.4499,5
a,fdfl-scal,2.0,mad,0.3916,0.0179,5
a,fplg,0.5,atkinson,1.5283,0.0463,5
a,fplg,0.5,bias_parity,0.9977,0.0016,5
a,fplg,0.5,dp,5.8165,4.0184,5
a,fplg,0.5,mad,2.0412,0.0354,5
a,fplg,2.0,atkinson,0.7936,0.0581,5
a,fplg,2.0,bias_parity,0.2196,0.0451,5
a,fplg,2.0,dp,1899.9854,135.0153,5
a,fplg,2.0,mad,0.4312,0.0237,5
a,fpto,0.5,atkinson,0.5783,0.0712,5
a,fpto,0.5,bias_parity,0.2553,0.0201,5
a,fpto,0.5,dp,1750.321,89.0955,5
a,fpto,0.5,mad,0.3704,0.0125,5
a,fpto,2.0,atkinson,0.5783,0.0712,5
a,fpto,2.0,bias_parity,0.2553,0.0201,5
a,fpto,2.0,dp,1750.321,89.0955,5
a,fpto,2.0,mad,0.3841,0.022,5
a,mgda,0.5,atkinson,1.5312,0.0468,5
a,mgda,0.5,bias_parity,1.0001,0.0015,5
a,mgda,0.5,dp,3.0137,1.9567,5
a,mgda,0.5,mad,2.0531,0.036,5
a,mgda,2.0,atkinson,1.2832,0.067,5
a,mgda,2.0,bias_parity,0.8591,0.0224,5
a,mgda,2.0,dp,302.9188,54.1371,5
a,mgda,2.0,mad,0.4761,0.0491,5
a,pcgrad,0.5,atkinson,0.5717,0.0716,5
a,pcgrad,0.5,bias_parity,0.1157,0.04,5
a,pcgrad,0.5,dp,134.379,94.8529,5
a,pcgrad,0.5,mad,0.3646,0.0164,5
a,pcgrad,2.0,atkinson,0.8738,0.1938,5
a,pcgrad,2.0,bias_parity,0.1489,0.084,5
a,pcgrad,2.0,dp,553.0107,397.1335,5
a,pcgrad,2.0,mad,0.4695,0.0558,5
a,saa,0.5,atkinson,1.0,0.0,5
a,saa,0.5,bias_parity,1.0,0.0,5
a,saa,0.5,dp,1.0,0.0,5
a,saa,0.5,mad,1.0,0.0,5
a,saa,2.0,atkinson,1.0,0.0,5
a,saa,2.0,bias_parity,1.0,0.0,5
a,saa,2.0,dp,1.0,0.0,5
a,saa,2.0,mad,1.0,0.0,5
a,wdro,0.5,atkinson,0.5149,0.0447,5
a,wdro,0.5,bias_parity,0.3703,0.0265,5
a,wdro,0.5,dp,1591.7798,95.4689,5
a,wdro,0.5,mad,0.3598,0.0179,5
a,wdro,2.0,atkinson,0.5149,0.0447,5
a,wdro,2.0,bias_parity,0.3703,0.0265,5
a,wdro,2.0,dp,1591.7798,95.4689,5
a,wdro,2.0,mad,0.3598,0.0179,5
b,fdfl-scal,0.5,atkinson,1.5123,0.0043,2
b,fdfl-scal,0.5,bias_parity,0.9966,0.0032,2
b,fdfl-scal,0.5,dp,6.447,6.6562,2
b,fdfl-scal,0.5,mad,1.6685,0.0058,2
b,fdfl-scal,2.0,atkinson,0.6772,0.0537,2
b,fdfl-scal,2.0,bias_parity,0.2868,0.0353,2
b,fdfl-scal,2.0,dp,1756.9458,76.8854,2
b,fdfl-scal,2.0,mad,0.3904,0.0216,2
b,fplg,0.5,atkinson,1.507,0.0041,2
b,fplg,0.5,bias_parity,0.995,0.0028,2
b,fplg,0.5,dp,12.7623,7.0836,2
