variant,fairness_type,alpha,method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step,best_lambda_fair_constrained,test_reg_n_at_fair_best,test_fair_at_fair_best,test_fair_std_at_fair_best,regret_budget,baseline_regret_fpto_lam0
a,atkinson,0.5,wdro,0.0,0.04898,0.00026,0.00481,8e-05,0.04868,0.00417,0.0003,70.0,0.0,0.04898,0.00481,8e-05,0.05512,0.0501
a,atkinson,0.5,fpto,0.0,0.0501,0.00049,0.00547,0.00051,0.04979,0.00469,0.00032,70.0,2.0,0.0501,0.00547,0.00051,0.05512,0.0501
a,atkinson,0.5,pcgrad,0.0,0.05013,0.00051,0.00543,0.00046,0.04979,0.0045,0.00033,70.0,0.0,0.05013,0.00543,0.00046,0.05512,0.0501
a,atkinson,0.5,fplg,2.0,0.07386,0.00092,0.01451,0.00133,0.07376,0.01434,0.0001,70.0,2.0,0.07386,0.01451,0.00133,0.05512,0.0501
a,atkinson,0.5,fdfl-scal,2.0,0.07488,0.00067,0.01452,0.00133,0.07476,0.01436,0.00013,70.0,2.0,0.07488,0.01452,0.00133,0.05512,0.0501
a,atkinson,0.5,saa,0.0,0.07525,0.0002,0.00941,0.00118,0.07515,0.00962,0.0001,0.0,0.0,0.07525,0.00941,0.00118,0.05512,0.0501
a,atkinson,0.5,mgda,0.0,0.07577,0.00052,0.01453,0.00132,0.07561,0.01436,0.00016,70.0,0.0,0.07577,0.01453,0.00132,0.05512,0.0501
a,atkinson,2.0,fplg,1.0,0.12654,0.00194,0.00752,0.00031,0.12267,0.00633,0.00387,70.0,0.0,0.12743,0.00736,0.00035,0.16953,0.15412
a,atkinson,2.0,pcgrad,0.0,0.12756,0.00188,0.00924,0.00238,0.12445,0.00438,0.00311,70.0,0.0,0.12756,0.00924,0.00238,0.16953,0.15412
a,atkinson,2.0,fdfl-scal,0.0,0.12993,0.00199,0.00657,0.00035,0.1287,0.00544,0.00124,70.0,0.5,0.12993,0.00657,0.00035,0.16953,0.15412
a,atkinson,2.0,wdro,0.0,0.15011,0.00211,0.00481,8e-05,0.15035,0.00417,-0.00023,70.0,0.0,0.15011,0.00481,8e-05,0.16953,0.15412
a,atkinson,2.0,mgda,0.0,0.15295,0.00567,0.01239,0.00108,0.15372,0.01202,-0.00077,70.0,0.0,0.15295,0.01239,0.00108,0.16953,0.15412
a,atkinson,2.0,fpto,0.0,0.15412,0.00244,0.00547,0.00051,0.15462,0.00469,-0.0005,70.0,2.0,0.15412,0.00547,0.00051,0.16953,0.15412
a,atkinson,2.0,saa,0.0,0.28073,0.00205,0.00941,0.00118,0.27845,0.00962,0.00228,0.0,0.0,0.28073,0.00941,0.00118,0.16953,0.15412
a,bias_parity,0.5,wdro,0.0,0.04898,0.00026,0.93103,0.07148,0.04868,0.74394,0.0003,70.0,0.0,0.04898,0.93103,0.07148,0.05512,0.0501
a,bias_parity,0.5,pcgrad,0.0,0.0499,0.00054,0.35013,0.06487,0.04954,0.12396,0.00037,70.0,0.0,0.0499,0.35013,0.06487,0.05512,0.0501
a,bias_parity,0.5,fpto,2.0,0.05,0.00049,0.64783,0.05619,0.04968,0.44496,0.00033,70.0,2.0,0.05,0.64783,0.05619,0.05512,0.0501
a,bias_parity,0.5,fplg,2.0,0.07386,0.00092,2.48827,0.06721,0.07376,2.3863,0.0001,70.0,2.0,0.07386,2.48827,0.06721,0.05512,0.0501
a,bias_parity,0.5,fdfl-scal,2.0,0.0746,0.00078,2.49023,0.06673,0.07448,2.38828,0.00012,70.0,2.0,0.0746,2.49023,0.06673,0.05512,0.0501
a,bias_parity,0.5,saa,0.0,0.07525,0.0002,2.49282,0.06708,0.07515,2.39095,0.0001,0.0,0.0,0.07525,2.49282,0.06708,0.05512,0.0501
a,bias_parity,0.5,mgda,0.0,0.07576,0.00052,2.49329,0.06593,0.07559,2.39136,0.00016,70.0,0.0,0.07576,2.49329,0.06593,0.05512,0.0501
a,bias_parity,2.0,fplg,1.0,0.12651,0.00195,0.55425,0.1202,0.12265,0.35715,0.00386,70.0,2.0,0.12659,0.5155,0.12012,0.16953,0.15412
a,bias_parity,2.0,pcgrad,0.0,0.12855,0.0026,0.46383,0.20603,0.12492,0.25613,0.00363,70.0,0.0,0.12855,0.46383,0.20603,0.16953,0.15412
a,bias_parity,2.0,fdfl-scal,2.0,0.12979,0.00197,0.72433,0.12273,0.12856,0.52904,0.00123,70.0,2.0,0.12979,0.72433,0.12273,0.16953,0.15412
a,bias_parity,2.0,wdro,0.0,0.15011,0.00211,0.93103,0.07148,0.15035,0.74394,-0.00023,70.0,0.0,0.15011,0.93103,0.07148,0.16953,0.15412
a,bias_parity,2.0,mgda,0.0,0.15084,0.00411,2.16996,0.07813,0.15162,2.05545,-0.00078,70.0,0.0,0.15084,2.16996,0.07813,0.16953,0.15412
a,bias_parity,2.0,fpto,2.0,0.153,0.00228,0.64783,0.05619,0.15351,0.44496,-0.00051,70.0,2.0,0.153,0.64783,0.05619,0.16953,0.15412
a,bias_parity,2.0,saa,0.0,0.28073,0.00205,2.49282,0.06708,0.27845,2.39095,0.00228,0.0,0.0,0.28073,2.49282,0.06708,0.16953,0.15412
a,dp,0.5,wdro,0.0,0.04898,0.00026,1.56179,0.12044,0.04868,1.64701,0.0003,70.0,0.0,0.04898,1.56179,0.12044,0.05512,0.0501
a,dp,0.5,fpto,0.0,0.0501,0.00049,1.71329,0.10038,0.04979,1.80179,0.00032,70.0,2.0,0.05026,1.58388,0.09868,0.05512,0.0501
a,dp,0.5,pcgrad,0.0,0.05833,0.00154,0.07999,0.08162,0.05819,0.001,0.00014,70.0,0.0,0.05833,0.07999,0.08162,0.05512,0.0501
a,dp,0.5,fplg,2.0,0.07386,0.00092,0.00466,0.00165,0.07376,0.00476,0.0001,70.0,2.0,0.07386,0.00466,0.00165,0.05512,0.0501
a,dp,0.5,fdfl-scal,0.0,0.07489,0.00067,0.00201,0.00109,0.07476,0.00211,0.00013,70.0,0.0,0.07489,0.00201,0.00109,0.05512,0.0501
a,dp,0.5,saa,0.0,0.07525,0.0002,0.001,0.0,0.07515,0.001,0.0001,0.0,0.0,0.07525,0.001,0.0,0.05512,0.0501
a,dp,0.5,mgda,0.0,0.07576,0.00053,0.00159,7e-05,0.0756,0.00148,0.00016,70.0,0.0,0.07576,0.00159,7e-05,0.05512,0.0501
a,dp,2.0,fplg,1.0,0.12656,0.00194,1.87271,0.17712,0.1227,1.95522,0.00387,70.0,2.0,0.12671,1.84528,0.17544,0.16953,0.15412
a,dp,2.0,fdfl-scal,0.0,0.12993,0.00199,1.70319,0.18209,0.1287,1.78407,0.00124,70.0,2.0,0.13011,1.63914,0.18127,0.16953,0.15412
a,dp,2.0,pcgrad,0.0,0.13835,0.00314,0.30197,0.24812,0.13464,0.02995,0.00371,70.0,0.0,0.13835,0.30197,0.24812,0.16953,0.15412
a,dp,2.0,wdro,0.0,0.15011,0.00211,1.56179,0.12044,0.15035,1.64701,-0.00023,70.0,0.0,0.15011,1.56179,0.12044,0.16953,0.15412
a,dp,2.0,fpto,0.0,0.15412,0.00244,1.71329,0.10038,0.15462,1.80179,-0.0005,70.0,2.0,0.15539,1.58388,0.09868,0.16953,0.15412
a,dp,2.0,mgda,0.0,0.15497,0.00307,0.26592,0.02655,0.15586,0.27228,-0.00089,70.0,0.0,0.15497,0.26592,0.02655,0.16953,0.15412
a,dp,2.0,saa,0.0,0.28073,0.00205,0.001,0.0,0.27845,0.001,0.00228,0.0,0.0,0.28073,0.001,0.0,0.16953,0.15412
a,mad,0.5,pcgrad,0.0,0.04873,0.00036,21.21686,0.8025,0.04795,11.89964,0.00077,70.0,0.0,0.04873,21.21686,0.8025,0.05512,0.0501
a,mad,0.5,wdro,0.0,0.04898,0.00026,20.40141,0.17144,0.04868,18.53605,0.0003,70.0,0.0,0.04898,20.40141,0.17144,0.05512,0.0501
a,mad,0.5,fpto,1.0,0.0495,0.00022,20.80553,0.74814,0.04893,13.36844,0.00057,70.0,2.0,0.05059,18.49544,3.25954,0.05512,0.0501
a,mad,0.5,fdfl-scal,0.5,0.06647,0.00372,111.84587,8.85398,0.06639,108.60709,8e-05,70.0,0.5,0.06647,111.84587,8.85398,0.05512,0.0501
a,mad,0.5,fplg,2.0,0.07355,0.00104,116.75,6.13271,0.07346,113.85213,0.0001,70.0,2.0,0.07355,116.75,6.13271,0.05512,0.0501
a,mad,0.5,saa,0.0,0.07525,0.0002,56.79495,3.96432,0.07515,56.41675,0.0001,0.0,0.0,0.07525,56.79495,3.96432,0.05512,0.0501
a,mad,0.5,mgda,0.0,0.07576,0.00052,117.34999,6.02093,0.07559,114.45862,0.00016,70.0,0.0,0.07576,117.34999,6.02093,0.05512,0.0501
a,mad,2.0,fplg,0.5,0.12672,0.00193,24.4791,0.35965,0.12382,19.89546,0.00289,70.0,0.5,0.12672,24.4791,0.35965,0.16953,0.15412
a,mad,2.0,pcgrad,0.0,0.12742,0.00173,27.87913,3.90318,0.12454,17.50806,0.00288,70.0,0.0,0.12742,27.87913,3.90318,0.16953,0.15412
a,mad,2.0,fdfl-scal,0.0,0.12993,0.00199,22.13459,0.44442,0.1287,19.37851,0.00124,70.0,1.0,0.13073,21.24596,0.63123,0.16953,0.15412
a,mad,2.0,mgda,0.0,0.13007,0.00039,27.74814,1.80168,0.12867,18.22847,0.0014,70.0,0.0,0.13007,27.74814,1.80168,0.16953,0.15412
a,mad,2.0,wdro,0.0,0.15011,0.00211,20.40141,0.17144,0.15035,18.53605,-0.00023,70.0,0.0,0.15011,20.40141,0.17144,0.16953,0.15412
a,mad,2.0,fpto,0.5,0.15256,0.00161,21.73586,0.87367,0.1529,16.78729,-0.00033,70.0,2.0,0.15762,18.49544,3.25954,0.16953,0.15412
a,mad,2.0,saa,0.0,0.28073,0.00205,56.79495,3.96432,0.27845,56.41675,0.00228,0.0,0.0,0.28073,56.79495,3.96432,0.16953,0.15412
b,atkinson,0.5,fpto,0.0,0.04647,0.0004,0.00671,0.00044,0.04544,0.00429,0.00104,150.0,2.0,0.04648,0.0067,0.00044,0.05112,0.04647
b,atkinson,0.5,pcgrad,0.0,0.04662,0.00048,0.00648,0.0005,0.04548,0.00355,0.00114,150.0,0.0,0.04662,0.00648,0.0005,0.05112,0.04647
b,atkinson,0.5,wdro,0.0,0.04678,0.00026,0.00618,0.00046,0.04563,0.00378,0.00115,150.0,0.0,0.04678,0.00618,0.00046,0.05112,0.04647
b,atkinson,0.5,fplg,2.0,0.07251,0.00191,0.01631,0.00014,0.07165,0.01223,0.00086,150.0,2.0,0.07251,0.01631,0.00014,0.05112,0.04647
b,atkinson,0.5,fdfl-scal,2.0,0.07426,0.00228,0.01637,0.00014,0.07343,0.01229,0.00082,150.0,2.0,0.07426,0.01637,0.00014,0.05112,0.04647
b,atkinson,0.5,saa,0.0,0.07555,0.00019,0.01082,0.00013,0.0747,0.00787,0.00085,0.0,0.0,0.07555,0.01082,0.00013,0.05112,0.04647
b,atkinson,0.5,mgda,0.0,0.07606,0.00259,0.01639,0.00014,0.07528,0.01232,0.00078,150.0,0.0,0.07606,0.01639,0.00014,0.05112,0.04647
b,atkinson,2.0,fplg,1.0,0.12869,0.00207,0.00846,0.00078,0.11892,0.00579,0.00977,150.0,0.0,0.129,0.00834,0.00078,0.15431,0.14028
