method,best_lambda,test_reg_n_mean,test_reg_n_std,test_fair_mean,test_fair_std,train_reg_n_mean,train_fair_mean,n_seeds,fairness_type,alpha
fpto,0.0,0.0499879778695632,0.0007779990104171505,0.00573692661921086,0.0005293918035446387,0.04956839707511246,0.00457730629057636,5,atkinson,0.5
fdfl-scal,2.0,0.07494255754263184,0.0012894627813170188,0.01526631787351548,0.0013861431130716972,0.07462398070222448,0.013659347332439379,5,atkinson,0.5
fplg,2.0,0.07384003931122037,0.0012407182160279445,0.015244744885581678,0.0013835096593815958,0.07352633718497598,0.013635964992534139,5,atkinson,0.5
pcgrad,0.0,0.05002001315198308,0.000745017883406118,0.00566641256462326,0.00045941977007273114,0.0495694978191762,0.0042963334296068,5,atkinson,0.5
mgda,0.0,0.0758834743231412,0.0013544195076321064,0.01527320164176664,0.001387545129313742,0.07555211459477881,0.013667419141175799,5,atkinson,0.5
saa,0.0,0.07537386480283788,0.00023638369394222113,0.01000237914722968,0.00116162230427718,0.07503410957550742,0.00892316656239644,5,atkinson,0.5
wdro,0.0,0.04896243480498448,0.00048516786604934443,0.00512073829228324,0.0004615915792271751,0.04851795121587034,0.00403306368496148,5,atkinson,0.5
fpto,0.0,0.15336680839612707,0.003298459142600201,0.00573692661921086,0.0005293918035446387,0.15356519993659856,0.00457730629057636,5,atkinson,2.0
fdfl-scal,0.0,0.13065094296849572,0.0019382704250540982,0.006938646532337341,0.0005983905230199618,0.12810789840110154,0.00534019396965864,5,atkinson,2.0
fplg,1.0,0.12735128477071275,0.00198682189092572,0.00789372249622074,0.0006146776566027996,0.12205530696325777,0.0062392173257740996,5,atkinson,2.0
pcgrad,0.0,0.12840121161689488,0.0019654279346135637,0.00867022205092364,0.0018611637841563311,0.12381036773374562,0.00414628425018422,5,atkinson,2.0
mgda,0.0,0.1530113051758864,0.004219315587582715,0.012775811903602441,0.000954246739438565,0.15384886562258276,0.01116874578594028,5,atkinson,2.0
saa,0.0,0.2794809136529963,0.002414282585825644,0.01000237914722968,0.00116162230427718,0.27969060551046054,0.00892316656239644,5,atkinson,2.0
wdro,0.0,0.1498628967964504,0.002358717816679975,0.00512073829228324,0.0004615915792271751,0.14967795518259558,0.00403306368496148,5,atkinson,2.0
fpto,2.0,0.04988158109263532,0.0007810141690633083,0.6442757787467814,0.040802538801555495,0.04946732271417166,0.45105738073387214,5,bias_parity,0.5
fdfl-scal,2.0,0.07461925391462058,0.0013071027775044732,2.522972354334837,0.06611608483251398,0.07430393445105565,2.35504491316523,5,bias_parity,0.5
fplg,2.0,0.07383882103662016,0.0012410399283674476,2.5206940793600565,0.06602378124351525,0.07352511641652086,2.3527497945247235,5,bias_parity,0.5
