task,method,seed,stage_idx,lambda,iter,stage_type,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm
medical_resource_allocation,fpto,11,0,0.0,0,train,1.0,0.0,0.001,1932.2225795785107,391.89446060073453,0.013499745574779953,1e-06,19.899943977463792,0.0006684074240232146,19.899943977463792,0.01989994397746377,0.0,0.0,-0.015194873054865712,2,6.919599999491766,0,0,0,cpu,,,,,,0.28072530810674756,0.2191924422277047,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,5,train,1.0,0.0,0.0009975062344139652,1867.4470387251786,389.69450430577274,0.013497490298958192,1e-06,22.460817223979603,0.0008006685676522462,22.460817223979603,0.02240480521095221,0.0,0.0,0.0811093549522429,2,10.934899999483605,0,0,0,cpu,,,,,,0.2713143148516126,0.2134124595956275,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,10,train,1.0,0.0,0.0009950248756218907,1801.7106856104492,386.8117712634616,0.013481162553970027,1e-06,26.239510130916894,0.001055096326297887,26.239510130916894,0.026108965304394903,0.0,0.0,0.21724219541047748,2,10.739399999692978,0,0,0,cpu,,,,,,0.2617637288182107,0.20745859374431616,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,15,train,1.0,0.0,0.0009925558312655087,1728.477070604562,382.70407684689644,0.013430862715202108,1e-06,32.23940438022575,0.0014896627442936754,32.23940438022575,0.031999408814119834,0.0,0.0,0.34381494350528935,2,8.698699999513337,0,0,0,cpu,,,,,,0.2511238939702072,0.20071864599541184,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,20,train,1.0,0.0,0.0009900990099009901,1640.6242208263575,376.12707719835583,0.013298257437887595,1e-06,42.24634231073026,0.0022740560503400607,42.24634231073026,0.041828061693792336,0.0,0.0,0.4538090773572897,2,6.822500000453147,0,0,0,cpu,,,,,,0.2383600858133736,0.19248043323102995,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,25,train,1.0,0.0,0.0009876543209876543,1535.7445780944508,364.1038020224408,0.01294919035688824,1e-06,59.00243141129572,0.003677468184148989,59.00243141129572,0.05827400633214392,0.0,0.0,0.5380716983235401,2,10.843600000043807,0,0,0,cpu,,,,,,0.22312251932842828,0.18242041643623458,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,30,train,1.0,0.0,0.0009852216748768474,1430.5667496938822,339.7078022314218,0.011988099863142643,1e-06,85.07340045567071,0.006256433713165525,85.07340045567071,0.08381615808440464,0.0,0.0,0.6151348448101146,2,9.897200000523299,0,0,0,cpu,,,,,,0.20784163057585558,0.17207688931599763,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,35,train,1.0,0.0,0.0009828009828009828,1372.3929774549724,291.0395124837273,0.009361152592064936,1e-06,114.72352904812165,0.010227960804416437,114.72352904812165,0.11275039709889106,0.0,0.0,0.6928792509395717,2,9.597199999916484,0,0,0,cpu,,,,,,0.19938978330520518,0.16624268947475856,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,40,train,1.0,0.0,0.000980392156862745,1379.1401754194776,224.84012107290695,0.005092252421505239,1e-06,104.7109439450789,0.009124842432747686,104.7109439450789,0.10265778818144988,0.0,0.0,0.6371867350148896,2,9.845900000073016,0,0,0,cpu,,,,,,0.20037005816973766,0.16692357228174418,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,45,train,1.0,0.0,0.00097799511002445,1345.8422633718656,191.06118574666652,0.004243500031671399,1e-06,59.833715321226975,0.007106339640903191,59.833715321226975,0.058517080998754994,0.0,0.0,-0.18509684183701083,2,6.669600000350329,0,0,0,cpu,,,,,,0.19553233050954424,0.16355252427695283,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,50,train,1.0,0.0,0.0009756097560975611,1254.3654280856535,176.27993221706706,0.004565722420737828,1e-06,51.94600252952941,0.010451002982641948,51.94600252952941,0.05067902685807747,0.0,0.0,-0.03932738919841836,2,8.480700000291108,0,0,0,cpu,,,,,,0.182242007209444,0.15414949401062714,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,55,train,1.0,0.0,0.00097323600973236,1177.5836586869527,163.9879079230501,0.004611618519041238,1e-06,47.81508289009237,0.010656948425200081,47.81508289009237,0.04653536047697553,0.0,0.0,-0.0009722709721480114,2,10.757799999737472,0,0,0,cpu,,,,,,0.17108667443399667,0.14609223908784152,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,60,train,1.0,0.0,0.000970873786407767,1129.8388836212498,153.95447528378634,0.004592725146700949,1e-06,42.23481793178427,0.010322144961065163,42.23481793178427,0.04100467760367402,0.0,0.0,0.013940511113351525,2,6.762500000149885,0,0,0,cpu,,,,,,0.1641500167049836,0.14100417845596455,,,,,,,,,,,,,,,
