method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.1287,0.00194,0.12993,0.00199,0.00544,0.00657,0.00035,116.79251,119.9492,3,0,0
fdfl-scal,0.5,0.1287,0.00195,0.12993,0.00199,0.00544,0.00657,0.00035,116.79166,119.94755,3,0,0
fdfl-scal,1.0,0.1287,0.00195,0.12993,0.00199,0.00544,0.00657,0.00035,116.79234,119.94944,3,0,0
fdfl-scal,2.0,0.1287,0.00195,0.12993,0.00199,0.00544,0.00657,0.00035,116.7922,119.94949,3,0,0
fplg,0.0,0.12621,0.00197,0.12743,0.00177,0.00642,0.00736,0.00035,123.37678,125.49454,3,0,0
fplg,0.5,0.1239,0.00206,0.12664,0.00197,0.00645,0.00748,0.00036,120.4014,123.71413,3,0,0
fplg,1.0,0.12267,0.00205,0.12654,0.00194,0.00633,0.00752,0.00031,119.28515,123.54895,3,0,0
fplg,2.0,0.12188,0.002,0.12665,0.00182,0.00621,0.00751,0.00031,118.53679,123.58603,3,0,0
fpto,0.0,0.15462,0.00241,0.15412,0.00244,0.00469,0.00547,0.00051,138.96208,141.19694,3,0,0
fpto,0.5,0.15462,0.00241,0.15412,0.00244,0.00469,0.00547,0.00051,138.96193,141.19681,3,0,0
fpto,1.0,0.15462,0.00241,0.15412,0.00244,0.00468,0.00547,0.00051,138.96188,141.19675,3,0,0
fpto,2.0,0.15462,0.00241,0.15412,0.00244,0.00468,0.00547,0.00051,138.96169,141.19658,3,0,0
mgda,0.0,0.15372,0.00486,0.15295,0.00567,0.01202,0.01239,0.00108,352.61788,358.08022,3,0,0
pcgrad,0.0,0.12445,0.00177,0.12756,0.00188,0.00438,0.00924,0.00238,126.45817,129.96833,3,0,0
saa,0.0,0.27845,0.00205,0.28073,0.00205,0.00962,0.00941,0.00118,245.85661,250.64968,3,0,0
wdro,0.0,0.15035,0.00257,0.15011,0.00211,0.00417,0.00481,8e-05,129.61501,131.6801,3,0,0
