method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07476,0.00023,0.07489,0.00067,2.38928,2.49119,0.06639,392.15729,399.32385,3,0,0
fdfl-scal,0.5,0.07469,0.00026,0.07481,0.0007,2.38903,2.49095,0.06648,392.12535,399.29059,3,0,0
fdfl-scal,1.0,0.07462,0.00028,0.07474,0.00072,2.38878,2.49071,0.06656,392.09302,399.25693,3,0,0
fdfl-scal,2.0,0.07448,0.00033,0.0746,0.00078,2.38828,2.49023,0.06673,392.02716,399.18836,3,0,0
fplg,0.0,0.07513,0.0002,0.07528,0.00063,2.39021,2.49215,0.06623,392.69759,399.87446,3,0,0
fplg,0.5,0.07467,0.00029,0.0748,0.00073,2.38897,2.49092,0.06655,392.32417,399.49109,3,0,0
fplg,1.0,0.07421,0.00038,0.07433,0.00083,2.38768,2.48963,0.06687,391.94129,399.09781,3,0,0
fplg,2.0,0.07376,0.00048,0.07386,0.00092,2.3863,2.48827,0.06721,391.54791,398.6935,3,0,0
fpto,0.0,0.04979,0.00029,0.0501,0.00049,0.58916,0.77953,0.0538,138.96208,141.19694,3,0,0
fpto,0.5,0.04976,0.00028,0.05007,0.00049,0.55341,0.74683,0.05438,138.95001,141.18601,3,0,0
fpto,1.0,0.04973,0.00028,0.05005,0.00049,0.51738,0.71393,0.05497,138.95247,141.18896,3,0,0
fpto,2.0,0.04968,0.00027,0.05,0.00049,0.44496,0.64783,0.05619,138.99731,141.23534,3,0,0
mgda,0.0,0.07559,0.00014,0.07576,0.00052,2.39136,2.49329,0.06593,393.05758,400.24385,3,0,0
pcgrad,0.0,0.04954,0.00029,0.0499,0.00054,0.12396,0.35013,0.06487,139.92449,142.26135,3,0,0
saa,0.0,0.07515,0.0002,0.07525,0.0002,2.39095,2.49282,0.06708,245.85661,250.64968,3,0,0
wdro,0.0,0.04868,0.0003,0.04898,0.00026,0.74394,0.93103,0.07148,129.61501,131.6801,3,0,0
