task,method,seed,stage_idx,lambda,iter,stage_type,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm
medical_resource_allocation,fpto,55,0,0.0,0,train,1.0,0.0,0.001,1870.4069063920606,398.48273208534295,2.313516410015308,1e-06,23.07309304219212,0.10127583326429565,23.07309304219212,0.023073093042192093,0.0,0.0,0.5650572822551712,2,6.543199999214266,0,0,0,cpu,,,,,,0.2745968462828756,0.21543819685705815,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,5,train,1.0,0.0,0.0009975062344139652,1799.2496053320547,395.4527481706613,2.305255609654341,1e-06,26.831341635782984,0.13068231698817462,26.831341635782984,0.026764430559384503,0.0,0.0,0.618838592124989,2,10.617699999784236,0,0,0,cpu,,,,,,0.26415015129137254,0.20895472821921837,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,10,train,1.0,0.0,0.0009950248756218907,1717.6525427190581,391.130632805284,2.2907171013035668,1e-06,33.18163686637674,0.18272970189725027,33.18163686637674,0.033016554095897245,0.0,0.0,0.6802753935949806,2,6.1541999984910944,0,0,0,cpu,,,,,,0.2521707814639289,0.20138689162600715,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,15,train,1.0,0.0,0.0009925558312655087,1615.5427839682006,384.03046758966025,2.2610837924625886,1e-06,44.30685222537787,0.2762361334933339,44.30685222537787,0.04397702454131798,0.0,0.0,0.7370370539442025,2,8.432599999650847,0,0,0,cpu,,,,,,0.23717991630412427,0.19171012492076422,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,20,train,1.0,0.0,0.0009900990099009901,1491.3643546163757,370.43366440493173,2.192004958455325,1e-06,63.33950232096638,0.44943112014614817,63.33950232096638,0.06271237853561026,0.0,0.0,0.7776240887791114,2,10.693600001104642,0,0,0,cpu,,,,,,0.21894912119754098,0.1796212142000129,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,25,train,1.0,0.0,0.0009876543209876543,1378.8889716349959,341.82914010086745,2.0168400698392155,1e-06,92.34889852679629,0.7782871327527745,92.34889852679629,0.09120878866844076,0.0,0.0,0.7977279423040776,2,8.840000000418513,0,0,0,cpu,,,,,,0.20243646539756738,0.168355228091519,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,30,train,1.0,0.0,0.0009852216748768474,1354.8572601237738,285.84245698700585,1.574684346601351,1e-06,119.45678971421772,1.3944759674837428,119.45678971421772,0.11769141843765292,0.0,0.0,0.7961269186586765,2,8.928699999160017,0,0,0,cpu,,,,,,0.19890833888712225,0.16590787838856594,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,35,train,1.0,0.0,0.0009828009828009828,1417.8227974780339,222.09282404222702,0.7850293237594159,1e-06,93.23831587116553,2.2553410971544934,93.23831587116553,0.09163470847288994,0.0,0.0,0.6914683811980452,2,5.118699999002274,0,0,0,cpu,,,,,,0.20815239050118436,0.17228984699093744,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,40,train,1.0,0.0,0.000980392156862745,1391.9731961086645,195.15636197953268,0.29450149979183626,1e-06,58.75556841668617,2.7649351673347455,58.75556841668617,0.05760349844773152,0.0,0.0,0.19688396680771256,2,10.63120000071649,0,0,0,cpu,,,,,,0.2043573772399307,0.16968167514219398,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,55,0,0.0,45,train,1.0,0.0,0.00097799511002445,1273.854981729506,179.35335393641645,0.24179242556633268,1e-06,55.59374838217268,2.9133234253557188,55.59374838217268,0.05437041406569455,0.0,0.0,-0.048329428417410863,2,6.270500000027823,0,0,0,cpu,,,,,,0.1870162900966806,0.15755157840457978,,,,,,,,,,,,,,,
