method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.1287,0.00194,0.12993,0.00199,1.78407,1.70319,0.18209,116.79251,119.9492,3,0,0
fdfl-scal,0.5,0.12873,0.00195,0.12997,0.00199,1.76457,1.6869,0.18114,116.77296,119.92287,3,0,0
fdfl-scal,1.0,0.12878,0.00195,0.13002,0.002,1.74521,1.67076,0.18121,116.75591,119.90189,3,0,0
fdfl-scal,2.0,0.12886,0.00194,0.13011,0.00201,1.70731,1.63914,0.18127,116.73455,119.87103,3,0,0
fplg,0.0,0.12621,0.00197,0.12743,0.00177,2.02161,1.93074,0.16819,123.37678,125.49454,3,0,0
fplg,0.5,0.12391,0.00206,0.12666,0.00197,1.97784,1.8945,0.17007,120.35189,123.6518,3,0,0
fplg,1.0,0.1227,0.00205,0.12656,0.00194,1.95522,1.87271,0.17712,119.18384,123.41566,3,0,0
fplg,2.0,0.12192,0.00201,0.12671,0.00182,1.92395,1.84528,0.17544,118.36425,123.34482,3,0,0
fpto,0.0,0.15462,0.00241,0.15412,0.00244,1.80179,1.71329,0.10038,138.96208,141.19694,3,0,0
fpto,0.5,0.15492,0.00244,0.15443,0.00248,1.76608,1.68064,0.10001,138.98349,141.21827,3,0,0
fpto,1.0,0.15523,0.00246,0.15474,0.00252,1.73067,1.64824,0.09956,139.01838,141.25457,3,0,0
fpto,2.0,0.15587,0.00252,0.15539,0.0026,1.66036,1.58388,0.09868,139.12611,141.36322,3,0,0
mgda,0.0,0.15586,0.0012,0.15497,0.00307,0.27228,0.26592,0.02655,354.48115,359.95106,3,0,0
pcgrad,0.0,0.13464,0.00134,0.13835,0.00314,0.02995,0.30197,0.24812,140.58541,143.45737,3,0,0
saa,0.0,0.27845,0.00205,0.28073,0.00205,0.001,0.001,0.0,245.85661,250.64968,3,0,0
wdro,0.0,0.15035,0.00257,0.15011,0.00211,1.64701,1.56179,0.12044,129.61501,131.6801,3,0,0
