task,method,seed,stage_idx,lambda,iter,stage_type,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm
medical_resource_allocation,fpto,11,0,0.0,0,train,1.0,0.0,0.001,75.21973758100285,391.89446060073453,110.07295742035495,1e-06,19.899943977463792,6.433007106491683,19.899943977463792,0.01989994397746377,0.0,0.0,0.8611334020070981,2,6.882699999550823,0,0,0,cpu,,,,,,0.07576321424882539,0.08197381387200331,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,5,train,1.0,0.0,0.0009975062344139652,73.4737304941101,389.69450430577274,109.44407263270107,1e-06,22.460817223979603,7.678440908436209,22.460817223979603,0.02240480521095221,0.0,0.0,0.8626809773349933,2,4.36600000011822,0,0,0,cpu,,,,,,0.07400459193427969,0.07991896211328448,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,10,train,1.0,0.0,0.0009950248756218907,71.5921253057686,386.8117712634616,108.55558840732482,1e-06,26.239510130916894,9.824994162879984,26.239510130916894,0.026108965304394903,0.0,0.0,0.8622347400468666,2,4.492500000196742,0,0,0,cpu,,,,,,0.07210939179664957,0.07771324675467192,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,15,train,1.0,0.0,0.0009925558312655087,69.40418201065063,382.70407684689644,107.16219234854137,1e-06,32.23940438022575,13.288603907536977,32.23940438022575,0.031999408814119834,0.0,0.0,0.8638063041699959,2,8.270500000435277,0,0,0,cpu,,,,,,0.06990564020214562,0.07515972918848667,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,20,train,1.0,0.0,0.0009900990099009901,66.6912783927969,376.12707719835583,104.69583043053767,1e-06,42.24634231073026,19.181426859848923,42.24634231073026,0.041828061693792336,0.0,0.0,0.8669114143845283,2,8.32319999972242,0,0,0,cpu,,,,,,0.06717313534842255,0.0720102924710606,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,25,train,1.0,0.0,0.0009876543209876543,63.40946357164921,364.1038020224408,99.74821762419177,1e-06,59.00243141129572,29.029146714106812,59.00243141129572,0.05827400633214392,0.0,0.0,0.8707351546147389,2,4.530500000328175,0,0,0,cpu,,,,,,0.06386760880159266,0.06822497480279617,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,30,train,1.0,0.0,0.0009852216748768474,60.26009435693811,339.7078022314218,88.885551574302,1e-06,85.07340045567071,44.81528566548516,85.07340045567071,0.08381615808440464,0.0,0.0,0.8747578753823867,2,4.041400000460271,0,0,0,cpu,,,,,,0.06069548480546916,0.06461747369850454,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,35,train,1.0,0.0,0.0009828009828009828,58.98753369539645,291.0395124837273,65.8494581683247,1e-06,114.72352904812165,62.70412155986304,114.72352904812165,0.11275039709889106,0.0,0.0,0.8765181749503813,2,7.302500000150758,0,0,0,cpu,,,,,,0.059413729655217774,0.06316669882225585,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,40,train,1.0,0.0,0.000980392156862745,60.01575725784551,224.84012107290695,35.96148155119172,1e-06,104.7109439450789,48.437769473890185,104.7109439450789,0.10265778818144988,0.0,0.0,0.8195241929928837,2,8.015500000510656,0,0,0,cpu,,,,,,0.06044938232515201,0.06433861165963475,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,45,train,1.0,0.0,0.00097799511002445,59.379714094453334,191.06118574666652,27.612093656981184,1e-06,59.833715321226975,25.451388810244744,59.833715321226975,0.058517080998754994,0.0,0.0,0.1536361795855071,2,4.4517000005726,0,0,0,cpu,,,,,,0.05980874363098364,0.06361337996479863,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,50,train,1.0,0.0,0.0009756097560975611,56.400020130558914,176.27993221706706,26.531058774914555,1e-06,51.94600252952941,34.332521641599904,51.94600252952941,0.05067902685807747,0.0,0.0,0.18907044568106984,2,7.475400000657828,0,0,0,cpu,,,,,,0.056807520821088066,0.06022897984782635,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,55,train,1.0,0.0,0.00097323600973236,53.641000820244926,163.9879079230501,24.818611104726426,1e-06,47.81508289009237,32.684470839162,47.81508289009237,0.04653536047697553,0.0,0.0,0.2204575053849958,2,4.495899999710673,0,0,0,cpu,,,,,,0.05402856708040449,0.057114374916855164,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,60,train,1.0,0.0,0.000970873786407767,51.75730716243402,153.95447528378634,23.247005629610474,1e-06,42.23481793178427,29.814847844864413,42.23481793178427,0.04100467760367402,0.0,0.0,0.22747731607149754,2,3.698399999848334,0,0,0,cpu,,,,,,0.05213126338372256,0.054998399430096066,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,65,train,1.0,0.0,0.0009685230024213075,50.56683916535371,146.35530816326818,21.98561631531571,1e-06,36.34823462309587,27.667806194023186,36.34823462309587,0.03520410132987493,0.0,0.0,0.21518629084446292,2,4.470400000172958,0,0,0,cpu,,,,,,0.05093219403278209,0.053665495460438535,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,1,0.5,0,train,1.0,0.5,0.001,75.21973758100285,391.89446060073453,110.07295742035495,1e-06,19.899943977463792,6.433007106491683,22.72868085113993,0.02272868085113991,0.0,0.0,0.8611334020070981,2,4.106899999896996,0,0,0,cpu,,,,,,0.07576321424882539,0.08197381387200331,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,1,0.5,5,train,1.0,0.5,0.0009975062344139652,73.0868051335865,389.3310466468696,109.30132482931451,1e-06,22.965643209611347,8.021810560713744,26.502846029519297,0.026436754144158886,0.0,0.0,0.8624878390006713,2,4.033199999867065,0,0,0,cpu,,,,,,0.07361487096568305,0.07946465099501404,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,1,0.5,10,train,1.0,0.5,0.0009950248756218907,70.67095366998456,385.7096004321952,108.08405014452651,1e-06,27.990526548295644,11.074987913431988,32.88855381330699,0.032724929167469635,0.0,0.0,0.8629938475294946,2,4.686600000241015,0,0,0,cpu,,,,,,0.07118156452356594,0.0766366835592078,,,,,,,,,,,,,,,
