method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.12811,0.00177,0.13065,0.00194,19.16442,22.8757,1.1806,116.73807,120.20183,5,0,0
fdfl-scal,0.5,0.12846,0.00172,0.13099,0.00192,16.28552,22.2982,1.10583,116.52569,120.19099,5,0,0
fdfl-scal,1.0,0.12896,0.00169,0.13146,0.00189,13.89554,21.86805,1.10017,116.58972,120.44085,5,0,0
fdfl-scal,2.0,0.13236,0.00236,0.135,0.00327,10.38794,21.84171,1.09904,118.37137,122.59835,5,0,0
fplg,0.0,0.12558,0.00189,0.12811,0.00183,22.40337,25.30385,1.06387,123.35299,125.48278,5,0,0
fplg,0.5,0.12316,0.00192,0.1275,0.00196,19.68405,25.10998,1.06411,120.94767,124.36972,5,0,0
fplg,1.0,0.12199,0.00195,0.12772,0.00197,17.92777,25.28388,0.94263,121.05989,125.43142,5,0,0
fplg,2.0,0.12132,0.00192,0.12824,0.00199,16.18051,25.47103,0.92613,122.18139,127.38211,5,0,0
fpto,0.0,0.15357,0.00425,0.15337,0.0033,20.8259,23.93768,1.3727,138.3287,140.12448,5,0,0
fpto,0.5,0.15225,0.00365,0.15222,0.00249,16.51674,22.09557,0.79865,133.43097,135.3111,5,0,0
fpto,1.0,0.1529,0.0032,0.15301,0.00202,13.15223,20.98715,0.59336,131.60662,133.79463,5,0,0
fpto,2.0,0.15789,0.00251,0.15821,0.00181,3.07079,17.40013,3.37689,139.94249,145.63757,5,0,0
mgda,0.0,0.12877,0.00255,0.13093,0.00135,18.45925,27.73391,1.79061,166.62511,168.38062,5,0,0
pcgrad,0.0,0.12373,0.00196,0.1282,0.00189,17.58863,27.38598,2.87053,124.87793,128.14475,5,0,0
saa,0.0,0.27969,0.00241,0.27948,0.00241,54.26639,58.4983,3.64693,247.33362,249.17277,5,0,0
wdro,0.0,0.14968,0.00361,0.14986,0.00236,18.13449,21.00808,0.85084,129.14993,131.09432,5,0,0
