method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07344,0.00271,0.07426,0.00228,0.01229,0.01637,0.00014,397.55996,390.51431,2,0,0
fdfl-scal,0.5,0.07344,0.00271,0.07426,0.00228,0.01229,0.01637,0.00014,397.55954,390.51391,2,0,0
fdfl-scal,1.0,0.07344,0.00271,0.07426,0.00228,0.01229,0.01637,0.00014,397.55913,390.5135,2,0,0
fdfl-scal,2.0,0.07343,0.00271,0.07426,0.00228,0.01229,0.01637,0.00014,397.5583,390.5127,2,0,0
fplg,0.0,0.07434,0.00288,0.07514,0.00237,0.0123,0.01638,0.00014,398.75474,391.6832,2,0,0
fplg,0.5,0.07343,0.00263,0.07425,0.00218,0.01228,0.01636,0.00014,398.08365,391.02673,2,0,0
fplg,1.0,0.07253,0.00241,0.07338,0.00203,0.01225,0.01634,0.00014,397.37296,390.33253,2,0,0
fplg,2.0,0.07165,0.00222,0.07251,0.00191,0.01223,0.01631,0.00014,396.61466,389.5926,2,0,0
fpto,0.0,0.04544,0.00053,0.04647,0.0004,0.00429,0.00671,0.00044,120.02058,123.62161,2,0,0
fpto,0.5,0.04544,0.00053,0.04647,0.0004,0.00429,0.00671,0.00044,120.0206,123.62159,2,0,0
fpto,1.0,0.04544,0.00053,0.04647,0.0004,0.00429,0.00671,0.00044,120.02059,123.62146,2,0,0
fpto,2.0,0.04544,0.00053,0.04648,0.0004,0.00429,0.0067,0.00044,120.0205,123.6214,2,0,0
mgda,0.0,0.07528,0.00318,0.07606,0.00259,0.01232,0.01639,0.00014,399.39349,392.3084,2,0,0
pcgrad,0.0,0.04548,0.0006,0.04662,0.00048,0.00355,0.00648,0.0005,120.09335,123.73881,2,0,0
saa,0.0,0.0747,0.00025,0.07555,0.00019,0.00787,0.01082,0.00013,249.35967,246.97059,2,0,0
wdro,0.0,0.04563,0.00041,0.04678,0.00026,0.00378,0.00618,0.00046,118.84237,122.95621,2,0,0
