method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.12644,0.00138,0.1319,0.00147,0.56858,0.81982,0.09249,115.61546,120.83123,2,0,0
fdfl-scal,0.5,0.12631,0.00127,0.13185,0.00147,0.54281,0.79962,0.09306,115.51309,120.80224,2,0,0
fdfl-scal,1.0,0.12626,0.00128,0.13182,0.00147,0.51767,0.77939,0.09341,115.54472,120.82951,2,0,0
fdfl-scal,2.0,0.12627,0.00138,0.13176,0.00146,0.46738,0.73928,0.0955,115.75092,120.94231,2,0,0
fplg,0.0,0.12318,0.00135,0.129,0.00215,0.31914,0.569,0.09749,123.61245,126.11751,2,0,0
fplg,0.5,0.12058,0.00135,0.12869,0.00197,0.32581,0.58765,0.09366,121.02384,125.04563,2,0,0
fplg,1.0,0.11889,0.0013,0.12866,0.00205,0.30457,0.57813,0.1034,119.68925,124.9475,2,0,0
fplg,2.0,0.1172,0.00103,0.12875,0.00219,0.27286,0.55658,0.11485,118.43042,125.0097,2,0,0
fpto,0.0,0.13806,0.0025,0.14028,0.00014,0.72,0.96079,0.09217,120.02058,123.62161,2,0,0
fpto,0.5,0.13781,0.00247,0.14006,0.00016,0.67308,0.92033,0.093,120.01589,123.59564,2,0,0
fpto,1.0,0.13758,0.00244,0.13985,0.00018,0.62575,0.87952,0.09398,120.03287,123.58873,2,0,0
fpto,2.0,0.13716,0.00238,0.13948,0.00022,0.53131,0.79782,0.09638,120.1282,123.63621,2,0,0
mgda,0.0,0.19394,0.00955,0.19057,0.00652,2.06077,2.38953,0.05213,375.26515,368.71218,2,0,0
pcgrad,0.0,0.12096,0.00118,0.12899,0.00171,0.09054,0.41675,0.14948,120.8646,125.17578,2,0,0
saa,0.0,0.28275,0.00099,0.27761,0.00181,2.24851,2.57677,0.01561,249.35967,246.97059,2,0,0
wdro,0.0,0.13912,0.00204,0.14137,7e-05,0.74803,0.99373,0.11667,118.84237,122.95621,2,0,0
