method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07344,0.00271,0.07426,0.00228,0.00623,0.00614,0.00709,397.55996,390.51431,2,0,0
fdfl-scal,0.5,0.07346,0.00253,0.07429,0.0021,0.00595,0.00587,0.00641,397.58314,390.53636,2,0,0
fdfl-scal,1.0,0.07349,0.00237,0.07433,0.00194,0.00567,0.00561,0.00577,397.61233,390.56432,2,0,0
fdfl-scal,2.0,0.0736,0.00212,0.07444,0.00168,0.00506,0.00503,0.00465,397.68404,390.63342,2,0,0
fplg,0.0,0.07434,0.00288,0.07514,0.00237,0.00527,0.00517,0.00387,398.75474,391.6832,2,0,0
fplg,0.5,0.07343,0.00263,0.07425,0.00218,0.00619,0.00604,0.00676,398.08365,391.02673,2,0,0
fplg,1.0,0.07254,0.00241,0.07338,0.00203,0.00941,0.00913,0.00702,397.37279,390.33236,2,0,0
fplg,2.0,0.07165,0.00222,0.07251,0.00191,0.01318,0.01276,0.00708,396.61439,389.59233,2,0,0
fpto,0.0,0.04544,0.00053,0.04647,0.0004,1.52851,1.61598,0.07656,120.02058,123.62161,2,0,0
fpto,0.5,0.04547,0.00054,0.04651,0.0004,1.4816,1.5755,0.07602,120.04298,123.66318,2,0,0
fpto,1.0,0.04551,0.00055,0.04656,0.0004,1.43502,1.53524,0.07485,120.08612,123.72781,2,0,0
fpto,2.0,0.0456,0.00056,0.04666,0.00039,1.34199,1.45477,0.07246,120.23004,123.90866,2,0,0
mgda,0.0,0.07526,0.00315,0.07604,0.00257,0.00523,0.00513,0.00019,399.38564,392.30065,2,0,0
pcgrad,0.0,0.04998,0.00094,0.0511,0.00036,0.001,0.3206,0.05099,131.9252,135.86147,2,0,0
saa,0.0,0.0747,0.00025,0.07555,0.00019,0.001,0.001,0.0,249.35967,246.97059,2,0,0
wdro,0.0,0.04563,0.00041,0.04678,0.00026,1.50048,1.58304,0.10106,118.84237,122.95621,2,0,0
