task,method,seed,stage_idx,lambda,iter,stage_type,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,val_check_regret,val_check_regret_normalized,val_check_fairness,val_check_pred_mse,val_check_metric_used,val_check_selection_value,val_check_is_best,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm
medical_resource_allocation,fpto,44,0,0.0,0,train,1.0,0.0,0.0002,72.92776081318004,400.1752194325319,103.78233779921764,1e-06,20.786544051923432,7.311881370651548,20.786544051923432,0.004157308810384683,0.0,0.0,0.8675105122758581,2.0,2.957599999717786,0.0,0.0,0.0,cpu,,,,,,0.07752932931707378,0.08404530548345458,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,5,train,1.0,0.0,0.001,71.47139695166561,398.7937712971137,103.34483645830076,1e-06,22.394873113809346,8.415362057774821,22.394873113809346,0.02239487311380932,0.0,0.0,0.8737007873083634,2.0,4.206800000247313,0.0,0.0,0.0,cpu,,,,,,0.07598107235476168,0.08222891337127819,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,10,train,1.0,0.0,0.0009756097560975611,69.0257239173834,395.9500059976781,102.35174026330309,1e-06,26.097181652578417,10.985882736366921,26.097181652578417,0.025460665026905756,0.0,0.0,0.8795472208863748,2.0,4.180300000371062,0.0,0.0,0.0,cpu,,,,,,0.07338108316048925,0.07919229990552713,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,15,train,1.0,0.0,0.0009523809523809524,66.45455077822987,392.0417748315529,100.82258703169707,1e-06,31.747191730242807,14.7740074253965,31.747191730242807,0.030235420695469323,0.0,0.0,0.8849368710018607,2.0,2.577999999630265,0.0,0.0,0.0,cpu,,,,,,0.07064767510279084,0.07601818299707251,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,20,val_check,,,,,,,,,,,,,,,,,,,,cpu,,,,,,,,45.28175550730464,0.06799753621223262,121.07745949122364,379.3043787519824,val_regret,45.28175550730464,1.0,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,20,train,1.0,0.0,0.0009302325581395349,63.53415722058128,386.0636683971501,98.24673443833274,1e-06,41.0104313117745,20.684999366461962,41.0104313117745,0.03814923842955766,0.0,0.0,0.891076530594449,2.0,2.508300000044983,0.0,0.0,0.0,cpu,,,,,,0.06754301164758876,0.0724355251676892,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,25,train,1.0,0.0,0.0009090909090909091,60.18787109737161,375.6994129006471,93.4289183332024,1e-06,56.25497298811148,29.968988980922468,56.25497298811148,0.051140884534646804,0.0,0.0,0.8963323051552051,2.0,4.035399999338551,0.0,0.0,0.0,cpu,,,,,,0.06398558281743345,0.06835961246198763,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,30,val_check,,,,,,,,,,,,,,,,,,,,cpu,,,,,,,,40.31031453682749,0.06053215123256979,107.77260356714972,349.3367904403412,val_regret,40.31031453682749,1.0,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,30,train,1.0,0.0,0.0008888888888888889,56.96607571696234,355.84216687717446,83.87263809517145,1e-06,79.72528278376798,42.805445727909415,79.72528278376798,0.07086691803001598,0.0,0.0,0.9002436145669648,2.0,2.768600000308652,0.0,0.0,0.0,cpu,,,,,,0.06056049980028377,0.06446450227759122,,,,,,,,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,44,0,0.0,35,train,1.0,0.0,0.0008695652173913044,55.31258092515168,317.63339105040444,65.70796113009433,1e-06,108.64563470809011,56.22055273330403,108.64563470809011,0.0944744649635566,0.0,0.0,0.8962810290676507,2.0,2.5544000000081724,0.0,0.0,0.0,cpu,,,,,,0.05880267341415967,0.062476456055675665,,,,,,,,,,,,,,,,,,,,,,
