method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07344,0.00271,0.07426,0.00228,105.42565,123.31284,0.9902,397.55996,390.51431,2,0,0
fdfl-scal,0.5,0.06036,0.0005,0.06092,0.00119,83.9786,101.53408,0.53793,364.22636,357.87593,2,0,0
fdfl-scal,1.0,0.06099,0.00039,0.06166,0.00092,90.37228,108.05972,1.34499,373.98284,367.45467,2,0,0
fdfl-scal,2.0,0.0616,0.00024,0.06229,0.00068,83.08847,99.97217,16.43958,362.92073,356.70387,2,0,0
fplg,0.0,0.07434,0.00288,0.07514,0.00237,105.80549,123.71738,0.94675,398.75474,391.6832,2,0,0
fplg,0.5,0.07335,0.00261,0.07417,0.00217,105.5054,123.40904,0.93748,398.07186,391.0153,2,0,0
fplg,1.0,0.07224,0.00234,0.07308,0.00199,105.13293,123.0306,0.92735,397.29413,390.25615,2,0,0
fplg,2.0,0.07088,0.00208,0.07174,0.00182,104.61482,122.50804,0.91435,396.30904,389.29559,2,0,0
fpto,0.0,0.04544,0.00053,0.04647,0.0004,17.43973,23.08753,0.72511,120.02058,123.62161,2,0,0
fpto,0.5,0.04531,0.00049,0.04677,0.00042,11.92762,21.90341,0.74218,119.64881,123.76301,2,0,0
fpto,1.0,0.04553,0.00049,0.0474,0.00047,7.23465,21.06707,0.97072,120.84508,125.56594,2,0,0
fpto,2.0,0.04592,0.00057,0.04835,0.00075,1.18304,19.74034,2.22803,124.13769,130.46663,2,0,0
mgda,0.0,0.07525,0.00316,0.07603,0.00258,106.05663,123.97973,0.95392,399.38083,392.29601,2,0,0
pcgrad,0.0,0.04426,0.00047,0.04676,0.00061,3.72142,21.43859,1.37367,119.20833,125.13096,2,0,0
saa,0.0,0.0747,0.00025,0.07555,0.00019,50.9935,60.85233,0.11009,249.35967,246.97059,2,0,0
wdro,0.0,0.04563,0.00041,0.04678,0.00026,16.09752,21.93393,0.90933,118.84237,122.95621,2,0,0
