task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_true
md_knapsack,fpto,11,0,0.0,0,1.0,0.0,0.0005,0.0,6.708582728475063,2.17787701578485,1e-06,1.2750624428763855,0.6500481443618916,1.2750624428763855,0.0006375312214379873,0.0,0.0,0.5523153728852518,0,0.0,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,fpto,11,0,0.0,5,1.0,0.0,0.0004987531172069826,0.0,6.704517811830243,2.17673220392161,1e-06,1.2766413230484326,0.651090656415725,1.2766413230484326,0.0006367288394254505,0.0,0.0,0.5522527541469717,0,0.0,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,fpto,11,0,0.0,10,1.0,0.0,0.0004975124378109454,0.0,6.700445262576496,2.175590843901385,1e-06,1.2835035216161623,0.6503454269851727,1.2835035216161623,0.0006385589659780021,0.0,0.0,0.5447741408509218,0,0.0,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,fpto,11,0,0.0,15,1.0,0.0,0.0004962779156327543,0.0,6.696346572438844,2.1744593265073613,1e-06,1.285178824402619,0.6513875812960831,1.285178824402619,0.0006378058681896921,0.0,0.0,0.5446733383780874,0,0.0,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,fpto,22,0,0.0,0,1.0,0.0,0.0005,0.0,6.988331842861027,2.179645167523745,1e-06,1.135516440130164,0.5471774421181527,1.135516440130164,0.0005677582200648563,0.0,0.0,0.4821755401016133,0,0.0,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,fpto,22,0,0.0,5,1.0,0.0,0.0004987531172069826,0.0,6.985108038803547,2.178896968966826,1e-06,1.1370430698421221,0.5473835378901877,1.1370430698421221,0.000567103775482132,0.0,0.0,0.48116307398973823,0,0.0,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,fpto,22,0,0.0,10,1.0,0.0,0.0004975124378109454,0.0,6.981884636749214,2.17815041046941,1e-06,1.1380279656613108,0.5478251561121403,1.1380279656613108,0.0005661830674929737,0.0,0.0,0.4809825763086373,0,0.0,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,fpto,22,0,0.0,15,1.0,0.0,0.0004962779156327543,0.0,6.978663651645432,2.1774047368274494,1e-06,1.1390219061708844,0.5482689502317198,1.1390219061708844,0.0005652714174543013,0.0,0.0,0.480802700848912,0,0.0,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,dfl,11,0,0.0,0,0.0,0.0,0.0005,0.0,6.708582728475063,2.17787701578485,195.82580138437896,1e-06,1e-06,195.82580138437896,0.09791290069218948,0.0,0.0,0.0,3,37.3053000002983,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,dfl,11,0,0.0,5,0.0,0.0,0.0004987531172069826,0.0,6.384915340451245,1.9774447181994992,571.0741327376468,1e-06,1e-06,571.0741327376468,0.2848250038591755,0.0,0.0,0.0,3,40.06439999648137,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,dfl,11,0,0.0,10,0.0,0.0,0.0004975124378109454,0.0,21.80322331622618,0.667887706155234,2215.863376720022,1e-06,1e-06,2215.863376720022,1.1024195904079712,0.0,0.0,0.0,3,38.06769999937387,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,dfl,11,0,0.0,15,0.0,0.0,0.0004962779156327543,0.0,11.081889452687134,0.005547570422729394,639.6267814158609,1e-06,1e-06,639.6267814158609,0.3174326458639508,0.0,0.0,0.0,3,35.020200004510116,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,dfl,22,0,0.0,0,0.0,0.0,0.0005,0.0,6.988331842861027,2.179645167523745,462.15551814084614,1e-06,1e-06,462.15551814084614,0.23107775907042308,0.0,0.0,0.0,3,36.174600005324464,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,dfl,22,0,0.0,5,0.0,0.0,0.0004987531172069826,0.0,6.828553333350189,2.2184581373842316,1945.680716811845,1e-06,1e-06,1945.680716811845,0.9704143225994242,0.0,0.0,0.0,3,44.6181000006618,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,dfl,22,0,0.0,10,0.0,0.0,0.0004975124378109454,0.0,6.3475764512563275,2.1856400397396483,164.16915736528097,1e-06,1e-06,164.16915736528097,0.08167619769416963,0.0,0.0,0.0,3,38.60800000256859,0,0,0,cpu,,,,,,0.0,0.0
md_knapsack,dfl,22,0,0.0,15,0.0,0.0,0.0004962779156327543,0.0,6.358459383887466,2.262601064421945,132.37801997826966,1e-06,1e-06,132.37801997826966,0.06569628783040679,0.0,0.0,0.0,3,39.527900000393856,0,0,0,cpu,,,,,,0.0,0.0
