task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm,mo_method,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,mgda,44,0,0.0,0,1.0,0.0,0.0005,80.2401534340338,396.6919959966566,125.29029639863116,0.008262659252580464,20.59587006702206,7.972960530998301,0.008262659252572465,4.131329596033497e-06,0.6722725035448777,0.9066248121629097,0.8802764143705033,2,19.62489800007461,0,0,0,cuda,0.07774777704016757,0.0843020760531729,0.008262659252580464,7.972960530998301,20.59587006702206,0.9066248121629097,0.6722725035448777,0.8802764143705033,0.999999970705216,0.008262659252580464,0.9999999999989999,0.0,1.9027434005263958e-17,0.008262659252572465,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,5,0.4082482904638631,0.0,0.0004987531172069826,80.23940095419039,396.6917102726295,125.29014723142514,0.008262420794651034,20.596213398804807,7.973170359393513,0.008262420794643136,4.120908096820838e-06,0.6722586632720032,0.9066176619692259,0.8802757771315954,2,27.110825999898225,0,0,0,cuda,0.07774704793344743,0.08430121883506529,0.008262420794651034,7.973170359393513,20.596213398804807,0.9066176619692259,0.6722586632720032,0.8802757771315954,0.9999999707035252,0.008262420794651034,0.9999999999989999,3.682680361988418e-17,7.15159367904589e-18,0.008262420794643136,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,10,0.30151134457776363,0.0,0.0004975124378109454,80.23865039306156,396.69142526722544,125.28999843582761,0.008262214966651527,20.596545246561373,7.9735011687129616,0.008262214966643625,4.11055467966283e-06,0.6722567186249995,0.9066160403232599,0.8802777124157884,2,30.019473000038488,0,0,0,cuda,0.07774632068584382,0.0843003638040899,0.008262214966651527,7.9735011687129616,20.596545246561373,0.9066160403232599,0.6722567186249995,0.8802777124157884,0.9999999707020655,0.008262214966651527,0.9999999999989999,2.648728450119082e-17,1.2266995943318104e-17,0.008262214966643625,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,15,0.25,0.0,0.0004962779156327543,80.2379017408166,396.6911409739895,125.28985001123189,0.008261483479661625,20.59652543913773,7.9707697032012295,0.00826148347965413,4.099991771273664e-06,0.6722441828780741,0.9065497413108539,0.8803911534204574,2,29.425346999914836,0,0,0,cuda,0.07774559528783133,0.0842995109490373,0.008261483479661625,7.9707697032012295,20.59652543913773,0.9065497413108539,0.6722441828780741,0.8803911534204574,0.9999999706968766,0.008261483479661625,0.9999999999989999,1.0119057142718116e-16,2.677723746547724e-18,0.00826148347965413,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,20,0.2182178902359924,0.0,0.0004950495049504951,80.23715506074905,396.6908574175664,125.28970202552446,0.008261243035029326,20.59682727624113,7.971117854502451,0.008261243035021409,4.089724244803226e-06,0.6722423594800676,0.9065492416446973,0.8803903440572486,2,29.25070300000243,0,0,0,cuda,0.07774487180073755,0.08429866034200029,0.008261243035029326,7.971117854502451,20.59682727624113,0.9065492416446973,0.6722423594800676,0.8803903440572486,0.9999999706951709,0.008261243035029326,0.9999999999989999,3.256626077562866e-17,7.863330276973314e-18,0.008261243035021409,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,25,0.19611613513818404,0.0,0.0004938271604938272,80.23641027581323,396.6905745678232,125.28955440330904,0.00826106816554376,20.59710603896088,7.971508774851877,0.008261068165535684,4.07953980494681e-06,0.6722333833411673,0.9065498450649737,0.8803870743899579,2,29.81531399996129,0,0,0,cuda,0.07774415014990996,0.08429781189519918,0.00826106816554376,7.971508774851877,20.59710603896088,0.9065498450649737,0.6722333833411673,0.8803870743899579,0.9999999706939304,0.00826106816554376,0.9999999999989999,2.5921444333876973e-17,0.0,0.008261068165535684,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,30,0.1796053020267749,0.0,0.0004926108374384237,80.235667341816,396.6902924132443,125.28940713721938,0.008261043265842868,20.597479080413347,7.971929809033664,0.008261043265835422,4.069479411488805e-06,0.6722346881199243,0.9065516097493372,0.8803872503002612,2,29.375806999951237,0,0,0,cuda,0.07774343029252807,0.08429696555827984,0.008261043265842868,7.971929809033664,20.597479080413347,0.9065516097493372,0.6722346881199243,0.8803872503002612,0.9999999706937538,0.008261043265842868,0.9999999999989999,8.508342330396235e-17,1.4546882624765477e-17,0.008261043265835422,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,35,0.16666666666666666,0.0,0.0004914004914004914,80.23492627494102,396.69001095379116,125.28926023175505,0.008260699803393454,20.597757079830288,7.971796025967319,0.008260699803385238,4.059311912947417e-06,0.6722323468201894,0.9065239216414767,0.8803840697501185,2,32.22882099998969,0,0,0,cuda,0.07774271224427291,0.08429612134966849,0.008260699803393454,7.971796025967319,20.597757079830288,0.9065239216414767,0.6722323468201894,0.8803840697501185,0.999999970691317,0.008260699803393454,0.9999999999989999,0.0,3.319107082413935e-18,0.008260699803385238,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,40,0.15617376188860607,0.0,0.0004901960784313725,80.23418708870577,396.68973019430763,125.28911369935012,0.008260507672543946,20.59812508954226,7.972084331632616,0.008260507672535958,4.049268437258737e-06,0.6722260946677624,0.906516337535059,0.8803866859814203,2,59.31509000004098,0,0,0,cuda,0.07774199601824205,0.084295279284754,0.008260507672543946,7.972084331632616,20.59812508954226,0.906516337535059,0.6722260946677624,0.8803866859814203,0.9999999706899535,0.008260507672543946,0.9999999999989999,0.0,1.9721990475458977e-17,0.008260507672535958,mgda,FDFL-MGDA,0.5,64,MGDA
medical_resource_allocation,mgda,44,0,0.0,45,0.14744195615489714,0.0,0.000488997555012225,80.23344974798351,396.6894501262186,125.28896752499858,0.008260255715703269,20.598477296145326,7.972376345623942,0.0082602557156954,4.039244819146875e-06,0.6722290773318386,0.9065153726905012,0.8803898415909571,2,30.477673000063987,0,0,0,cuda,0.07774128158039986,0.08429443932351086,0.008260255715703269,7.972376345623942,20.598477296145326,0.9065153726905012,0.6722290773318386,0.8803898415909571,0.9999999706881655,0.008260255715703269,0.9999999999989999,4.998057564375672e-17,2.2133511164070305e-18,0.0082602557156954,mgda,FDFL-MGDA,0.5,64,MGDA
