task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,fpto,55,0,0.0,0,1.0,0.0,0.0005,1605.3343870204508,393.18897296106513,123.9734841427273,1e-06,22.794526733729565,9.112132737703053,22.794526733729565,0.011397263366864767,0.0,0.0,0.8579731446472745,2,8.92681399994899,0,0,0,cuda,,,,,,0.272142326212755,0.21392443330058772,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,5,1.0,0.0,0.0004987531172069826,1575.5157360798903,391.80971393733313,123.48971115892307,1e-06,24.416940272048116,10.225236370332677,24.416940272048116,0.012178025073340705,0.0,0.0,0.8576774600648683,2,12.152800999956526,0,0,0,cuda,,,,,,0.2670873562967665,0.21078843141278378,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,10,1.0,0.0,0.0004975124378109454,1544.5211722556023,390.2128581928482,122.90083688754125,1e-06,26.496170162241746,11.659469874066204,26.496170162241746,0.013182174210070507,0.0,0.0,0.8599360434894888,2,12.334664000036355,0,0,0,cuda,,,,,,0.26183304120373035,0.20750212797879644,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,15,1.0,0.0,0.0004962779156327543,1511.18918106836,388.30863674204693,122.15952455720674,1e-06,29.25088634283737,13.650561126990207,29.25088634283737,0.014516568904633922,0.0,0.0,0.8624488173945445,2,11.950139000020954,0,0,0,cuda,,,,,,0.25618247662831173,0.2039373111746669,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,20,1.0,0.0,0.0004950495049504951,1474.2915510365965,385.95685244382264,121.18724549707629,1e-06,32.854148211817495,16.12065084208453,32.854148211817495,0.016264429807830445,0.0,0.0,0.8674939600463808,2,11.587813000005553,0,0,0,cuda,,,,,,0.2499274515383559,0.19995356628959238,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,25,1.0,0.0,0.0004938271604938272,1432.7806643380864,382.9413287556503,119.86927398092972,1e-06,37.63562761311505,19.349408764393747,37.63562761311505,0.018585495117587683,0.0,0.0,0.8737793876001205,2,11.726565000003575,0,0,0,cuda,,,,,,0.2428903698184197,0.19542380866134218,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,30,1.0,0.0,0.0004926108374384237,1385.9026240026133,378.9168952435194,118.02075065851665,1e-06,43.993512648207286,23.446430671146857,43.993512648207286,0.021671681107491278,0.0,0.0,0.8814035061213974,2,12.073916000019835,0,0,0,cuda,,,,,,0.23494342801717333,0.1902463082008532,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,35,1.0,0.0,0.0004914004914004914,1333.9237340652335,373.3336756669172,115.34656888356153,1e-06,52.37912763368368,28.923502404634238,52.37912763368368,0.02573912905832121,0.0,0.0,0.8865889061190773,2,12.224793000029877,0,0,0,cuda,,,,,,0.22613177099675028,0.18442697297772706,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,40,1.0,0.0,0.0004901960784313725,1279.1521089321632,365.32906534423176,111.36423401730357,1e-06,63.16028001020239,35.824092123381895,63.16028001020239,0.030960921573628623,0.0,0.0,0.8914947759091585,2,11.456190000046718,0,0,0,cuda,,,,,,0.21684667899680118,0.17820378091969238,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,45,1.0,0.0,0.000488997555012225,1226.9135927859752,353.63511705421183,105.37643910852762,1e-06,76.6653890517207,44.34252508122595,76.6653890517207,0.037489187800352416,0.0,0.0,0.896765802247368,2,11.883930999999848,0,0,0,cuda,,,,,,0.20799100916447918,0.1721792692052721,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,50,1.0,0.0,0.00048780487804878054,1185.8907987946577,336.48894077307654,96.38501465849413,1e-06,92.49757162074377,54.5038378653691,92.49757162074377,0.04512076664426524,0.0,0.0,0.8999471364198601,2,11.909881000008227,0,0,0,cuda,,,,,,0.20103667075697484,0.1673859555264602,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,55,1.0,0.0,0.00048661800486618,1166.4867734694408,312.1487295575175,83.3900756875603,1e-06,108.54697173738276,64.86097408075678,108.54697173738276,0.052820910821110845,0.0,0.0,0.8999790317947586,2,12.344413999983317,0,0,0,cuda,,,,,,0.19774722736587125,0.16509929879008284,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,60,1.0,0.0,0.0004854368932038835,1174.980342182157,280.5013243750268,66.48798017674355,1e-06,118.99392575135182,70.06390683207067,118.99392575135182,0.057764041626869794,0.0,0.0,0.8960394496077567,2,11.837130000003526,0,0,0,cuda,,,,,,0.19918708909562377,0.16610176252468017,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,0,0.0,65,1.0,0.0,0.00048426150121065375,1205.3545078405177,246.43614053844243,49.16248836781244,1e-06,114.50435278479489,62.42850410648567,114.50435278479489,0.05545004977471907,0.0,0.0,0.8768912422456676,2,12.255717000016375,0,0,0,cuda,,,,,,0.2043362319569936,0.16966709672510324,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,1,0.5,0,1.0,0.5,0.0005,1605.3343870204508,393.18897296106513,123.9734841427273,1e-06,22.794526733729565,9.112132737703053,26.80587633444449,0.013402938167222237,0.0,0.0,0.8579731446472745,2,12.911734999988767,0,0,0,cuda,,,,,,0.272142326212755,0.21392443330058772,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,1,0.5,5,1.0,0.5,0.0004987531172069826,1567.653047668654,391.5449669993835,123.36055189591414,1e-06,24.806024993848837,10.596893510554604,29.476835293195965,0.014701663487878276,0.0,0.0,0.8577401191759362,2,12.846054000021923,0,0,0,cuda,,,,,,0.2657544437697437,0.20995734605383518,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,1,0.5,10,1.0,0.5,0.0004975124378109454,1527.2739741521018,389.5439689765411,122.55939267119919,1e-06,27.59618394487133,12.62995636770147,33.191553395286505,0.01651321064442115,0.0,0.0,0.8614566643475523,2,11.878397999964818,0,0,0,cuda,,,,,,0.2589092312794625,0.20566155592991106,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,1,0.5,15,1.0,0.5,0.0004962779156327543,1481.6453792854163,386.9721634055324,121.44025072108514,1e-06,31.597538181445927,15.590054357567848,38.556819222161046,0.019134897877002996,0.0,0.0,0.8677528893120904,2,12.712906999979623,0,0,0,cuda,,,,,,0.2511741001757886,0.20075071897707836,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,1,0.5,20,1.0,0.5,0.0004950495049504951,1428.468623706547,383.458966992722,119.785792116578,1e-06,37.35794781678161,19.724671413752702,46.251208618713676,0.022896637930056273,0.0,0.0,0.8770740043406149,2,12.521811999988586,0,0,0,cuda,,,,,,0.24215937646421323,0.1949503268682929,FPTO,2.0,64,FPTO
medical_resource_allocation,fpto,55,1,0.5,25,1.0,0.5,0.0004938271604938272,1366.0319243123095,378.32473663402095,117.19405206471755,1e-06,45.71004536680221,25.443152571421127,57.30106067405499,0.02829682008595307,0.0,0.0,0.8874961367319479,2,12.478328999975474,0,0,0,cuda,,,,,,0.23157487223158954,0.18803150133453145,FPTO,2.0,64,FPTO
