task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,wdro,55,0,0.0,0,1.0,0.0,0.0005,1605.3343870204508,473.6212799798967,123.9734841427273,1e-06,26.716393681187846,1e-06,26.716393681187846,0.013358196840593906,0.0,0.0,0.0,2,8.753307000006316,0,0,0,cuda,,,,,,0.272142326212755,0.21392443330058772,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,5,1.0,0.0,0.0004987531172069826,1568.5502991208514,471.69341132513756,123.38164151865406,1e-06,29.19594467603604,1e-06,29.19594467603604,0.014561568416975574,0.0,0.0,0.0,2,12.754296000025533,0,0,0,cuda,,,,,,0.2659065492123064,0.21005227390423348,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,10,1.0,0.0,0.0004975124378109454,1529.4971792775514,469.3537866277877,122.62087371485867,1e-06,32.60067269949125,1e-06,32.60067269949125,0.01621924014900062,0.0,0.0,0.0,2,11.880246000032457,0,0,0,cuda,,,,,,0.2592861173783213,0.20589928992318526,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,15,1.0,0.0,0.0004962779156327543,1485.9049537370202,466.36749570365004,121.58306325080713,1e-06,37.429096560488574,1e-06,37.429096560488574,0.01857523402505636,0.0,0.0,0.0,2,12.509531000091556,0,0,0,cuda,,,,,,0.2518961992657405,0.20121172938577664,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,20,1.0,0.0,0.0004950495049504951,1435.5636253096181,462.33109530283275,120.08883103865645,1e-06,44.26481966734877,1e-06,44.26481966734877,0.021913277063043943,0.0,0.0,0.0,2,11.890036000067994,0,0,0,cuda,,,,,,0.2433621478346856,0.19572909490489204,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,25,1.0,0.0,0.0004938271604938272,1376.825550162539,456.5304409949068,117.81900796853624,1e-06,53.9676089314337,1e-06,53.9676089314337,0.026650671077251185,0.0,0.0,0.0,2,12.296615999957794,0,0,0,cuda,,,,,,0.23340464830248248,0.18923606994972333,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,30,1.0,0.0,0.0004926108374384237,1310.1659269450329,447.69023148667674,114.19799100167504,1e-06,67.59874341749729,1e-06,67.59874341749729,0.03329987360467847,0.0,0.0,0.0,2,11.993803999985175,0,0,0,cuda,,,,,,0.2221042581323398,0.18173920649926129,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,35,1.0,0.0,0.0004914004914004914,1241.1270032891798,433.6201732501761,108.22162221226526,1e-06,85.99808159138287,1e-06,85.99808159138287,0.04225949955350511,0.0,0.0,0.0,2,12.159180999901764,0,0,0,cuda,,,,,,0.21040051999850434,0.17382718903554695,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,40,1.0,0.0,0.0004901960784313725,1182.9267422990551,410.84325719098393,98.27895667845685,1e-06,109.14992730696927,1e-06,109.14992730696927,0.05350486632694572,0.0,0.0,0.0,2,11.508091999985481,0,0,0,cuda,,,,,,0.20053419274600015,0.16703746878488754,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,45,1.0,0.0,0.000488997555012225,1155.3991416595245,375.35531719711935,82.46454641655218,1e-06,133.07691307037928,1e-06,133.07691307037928,0.06507428511998986,0.0,0.0,0.0,2,11.647739000068213,0,0,0,cuda,,,,,,0.19586761029833832,0.1637870351296448,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,50,1.0,0.0,0.00048780487804878054,1172.3846978784632,327.3667384247917,61.26750596480807,1e-06,144.71687636640706,1e-06,144.71687636640706,0.07059359822751565,0.0,0.0,0.0,2,12.353277999977763,0,0,0,cuda,,,,,,0.1987470657057684,0.1657956639825058,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,55,1.0,0.0,0.00048661800486618,1218.2704099180382,280.00382052642146,42.355457233804785,1e-06,126.74053610470932,1e-06,126.74053610470932,0.0616742268149437,0.0,0.0,0.0,2,12.168132000056175,0,0,0,cuda,,,,,,0.20652578428013074,0.17117395000667443,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,60,1.0,0.0,0.0004854368932038835,1247.2205448157247,250.18568373380907,34.02925845188456,1e-06,90.67333921676307,1e-06,90.67333921676307,0.04401618408580729,0.0,0.0,0.0,2,12.033285999905274,0,0,0,cuda,,,,,,0.21143352008827743,0.17453167390718247,WDRO,2.0,64,WDRO
medical_resource_allocation,wdro,55,0,0.0,65,1.0,0.0,0.00048426150121065375,1233.0648123877927,234.369213600535,31.967339311656986,1e-06,72.47104286151026,1e-06,72.47104286151026,0.03509493601041657,0.0,0.0,0.0,2,12.497226000050432,0,0,0,cuda,,,,,,0.20903378705861694,0.17289325517292797,WDRO,2.0,64,WDRO
