task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,pcgrad,11,0,0.0,0,1.0,0.0,0.0002,8419.638404481855,400.3086114968543,123.51719737381464,63236.59287450689,61.397710754741176,26.460069308141744,63297.81360063759,0.023406838165068295,0.6847197628342903,0.7238370875849675,0.8568591743736382,2,17.58040799995797,0,0,0,cuda,1.7613444697101428,0.6378575686701741,63236.59287450689,26.460069308141744,61.397710754741176,0.7238370875849675,0.6847197628342903,0.8568591743736382,0.9999995620594573,26.460069308141744,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,5,1.0,0.0,0.001,3549.948714148465,393.0096151282137,119.27535110980905,20203.056234197422,94.10454758449926,43.47998441524396,20288.22794342576,0.09833041351851486,0.6116135917714927,0.6289808594617778,0.8966185499234106,2,22.899042000062764,0,0,0,cuda,0.7426307680970798,0.4261549730973812,20203.056234197422,43.47998441524396,94.10454758449926,0.6289808594617778,0.6116135917714927,0.8966185499234106,0.9999867898314225,43.47998441524396,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,10,1.0,0.0,0.0009975062344139652,1390.4118527035762,375.1023136324915,108.70210408677868,2238.435830927302,131.04651505069273,71.53228541743508,2353.920521068499,0.07445006372826087,0.5514377804321617,0.5222606915377221,0.9222756512334319,2,21.989098999938506,0,0,0,cuda,0.2908669125357277,0.22532680147820994,2238.435830927302,71.53228541743508,131.04651505069273,0.5222606915377221,0.5514377804321617,0.9222756512334319,0.997509605848447,71.53228541743508,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,15,1.0,0.0,0.0009950248756218907,1190.9859711668369,360.9520447805558,100.64774385719589,1279.96177295991,141.66029337231384,72.76198954434996,1322.8408601213837,0.05908729457503488,0.14315073570089554,0.08146682921818518,0.929291277694352,2,22.00953900000968,0,0,0,cuda,0.2491480575579619,0.19945438497101545,1279.96177295991,72.76198954434996,141.66029337231384,0.08146682921818518,0.14315073570089554,0.929291277694352,0.9873963498766534,72.76198954434996,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,20,1.0,0.0,0.0009925558312655087,1058.6556856016432,350.1549457841379,94.75315441901701,804.5632805991153,147.93732108501837,75.37148399622436,852.092800802828,0.05054528418488404,0.11757579808193516,0.019750949055748875,0.9322393467424045,2,23.3582739999747,0,0,0,cuda,0.22146525154442248,0.18131113534699533,804.5632805991153,75.37148399622436,147.93732108501837,0.019750949055748875,0.11757579808193516,0.9322393467424045,0.9663804068719016,75.37148399622436,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,25,1.0,0.0,0.0009900990099009901,994.6927324773505,343.1058411701852,90.97895767682893,577.0513993372838,151.13936559043802,76.4561996596858,642.152938206735,0.042625893637488844,0.14805931887154467,0.038137680800804076,0.9299509932652925,2,23.129917000005662,0,0,0,cuda,0.20808453513600386,0.17224335639109734,577.0513993372838,76.4561996596858,151.13936559043802,0.038137680800804076,0.14805931887154467,0.9299509932652925,0.9380084044795355,76.4561996596858,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,30,1.0,0.0,0.0009876543209876543,951.3297975580153,337.2807543657565,88.21018463430457,491.1782578553299,154.1654168748163,76.52406638144781,569.4876046402567,0.03813418067142048,0.1739110505513816,0.06868849032257283,0.9296792731708148,2,22.82816299998558,0,0,0,cuda,0.19901323516545932,0.16598084935901164,491.1782578553299,76.52406638144781,154.1654168748163,0.06868849032257283,0.1739110505513816,0.9296792731708148,0.9188007707144729,76.52406638144781,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,35,1.0,0.0,0.0009852216748768474,910.4942106091621,331.9165143524947,86.442125112908,375.9600834547083,158.17980245053735,78.76648191680334,458.29844807249907,0.035451049278472306,0.10839359165032961,0.022114251238273753,0.9336245133433211,2,22.809973999983413,0,0,0,cuda,0.19047064321739612,0.15999608583595587,375.9600834547083,78.76648191680334,158.17980245053735,0.022114251238273753,0.10839359165032961,0.9336245133433211,0.8615512965399852,78.4699160178607,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,40,1.0,0.0,0.0009828009828009828,890.6846254065586,327.1450682909003,83.9513297164814,311.24943105141466,160.30830074829706,77.60052869604718,402.8959866963325,0.03248592929632476,0.09873861635515958,0.013920481578258176,0.9325809439039299,2,23.233308000044417,0,0,0,cuda,0.18632658124375073,0.15706179410428872,311.24943105141466,77.60052869604718,160.30830074829706,0.013920481578258176,0.09873861635515958,0.9325809439039299,0.8144987749283825,75.70449111847168,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,45,1.0,0.0,0.000980392156862745,864.5219084741375,322.22057292204363,82.22015934456924,273.70879277781387,163.58456295121889,79.3744631877826,373.57859923752676,0.029845884642516803,0.06097267397580789,-0.015125367229418834,0.931869196175702,2,21.84872499992707,0,0,0,cuda,0.18085347722577033,0.15315488391553636,273.70879277781387,79.3744631877826,163.58456295121889,-0.015125367229418834,0.06097267397580789,0.931869196175702,0.7591986355143238,75.96737891248746,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
medical_resource_allocation,pcgrad,11,0,0.0,50,1.0,0.0,0.00097799511002445,851.1522968051377,317.8067009016308,80.12877517214753,260.5324445701639,166.5269269970676,81.00402453351302,366.98583760179076,0.028241273635461875,0.04672567280807337,-0.027104922171174082,0.9318393679456826,2,22.73210500015921,0,0,0,cuda,0.17805662414917858,0.15114436819009056,260.5324445701639,81.00402453351302,166.5269269970676,-0.027104922171174082,0.04672567280807337,0.9318393679456826,0.7306061778369914,76.99468698432663,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,64,PCGrad
