method_label,lam,alpha_fair,unfairness_level,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FDFL-CAGrad,0.0,0.5,high,5,0.01143374730739338,0.0006418252422144052,0.05771893550539244,0.02081559905240247,0.8369276710975881,0.055839729908270616,0.28437935391155317,0.027591441833213253,0.03814097989140802,0.03383365228032943,0.15026010696010073,0.14382937403926524,23.404072347999865,0.1483958282419173
FDFL-CAGrad,0.0,0.5,medium,5,0.01161698794304094,0.0004061579155425902,0.094245910502505,0.05447372253558273,0.7452495018986796,0.05396971383920964,0.27843883811172093,0.01848557713601776,0.0304712962906759,0.027771561014021427,0.13368863201249664,0.07645146843527713,23.75918839859987,0.26967634909261534
FDFL-CAGrad,0.0,0.5,mild,5,0.01157776497276712,0.0004299181690055758,0.07323090029778616,0.060214029494699936,0.7274481258789375,0.04898895540565688,0.28269363986938845,0.03462870095973237,0.04210655128260698,0.033468573178307426,0.13566078744851126,0.05074332190479505,23.640169278199757,0.16592585153374725
FDFL-CAGrad,0.0,2.0,high,5,0.11417198450022244,0.02127796611195717,0.39473777250703573,0.12908704247479652,1.6560164040924232,0.12187971981479712,0.1542416299563941,0.026280252128753956,0.007821744695047221,0.07377279834704761,0.3228157329692644,0.194577842563535,23.857381453200105,0.7018682703378206
FDFL-CAGrad,0.0,2.0,medium,5,0.11218468543310231,0.02286230204868541,0.2598064659759808,0.15711249220771126,1.5655015797078649,0.17888149393301783,0.13346763258279742,0.024045218632835843,0.027569077187957064,0.014260869379920773,0.058297194820661126,0.14751496557076055,24.080833122199692,0.9717501338439766
FDFL-CAGrad,0.0,2.0,mild,5,0.11016950085131443,0.022417731799591716,0.20062163786336104,0.11762943557686044,1.5060565236664558,0.17646295284166363,0.13900841464381855,0.042071978852723825,0.017190603884269958,0.02940918244697707,0.09556791108702353,0.10531100151323872,24.26549478559955,0.7093768217840271
FDFL-MGDA,0.0,0.5,high,5,0.01229312405777882,0.0010361701881459306,0.08398023887240044,0.04478695299158551,1.0380730122140025,0.07119815875076085,0.24924518760505995,0.04595774848776692,0.046745029831801656,0.03543304311097801,0.1631195043544608,0.10080172382215268,23.489294554799926,0.22159234625562182
FDFL-MGDA,0.0,0.5,medium,5,0.01265966644820792,0.0010418637713703342,0.0951419529477551,0.07665624057490061,0.9164766651216201,0.08787615490316891,0.25239667718731873,0.04325434597263904,0.03793912445657356,0.034048440010741005,0.10348281596204216,0.09089417004210962,23.701521134000178,0.16659220402236619
FDFL-MGDA,0.0,0.5,mild,5,0.012150852459627121,0.0008374411725342227,0.08995706338936388,0.0951826679615297,0.8584146066254983,0.10642367151076686,0.25052116536706215,0.0659303579963685,0.04798844637718438,0.01941076709886979,0.11962218431183216,0.06880122834637324,23.61247687799987,0.10519135022250653
FDFL-MGDA,0.0,2.0,high,5,0.14610872097624358,0.04076075995764442,0.18101836316357356,0.19815001143747318,1.591935187665721,0.4633981558902791,0.19477408768651266,0.0591393986650223,0.0067915601621434205,0.04209089687396017,0.2552958784519737,0.21421458751299635,24.17858841260004,0.7556114058169715
FDFL-MGDA,0.0,2.0,medium,5,0.13439337406175372,0.033549536151332354,0.20406596013774156,0.08626289787885238,1.398093200030099,0.4863424463591904,0.17185522667530378,0.021548591425973894,0.0188264703606295,0.030196817569738143,0.046373886133709276,0.09971738202351635,24.162228978199984,0.8256913251583595
