task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_true,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm,mo_method,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,mgda,44,0,0.0,0,1.0,0.0,0.0002,0.0,1.9266196710240397,0.4838397224528418,99.85780411814042,3.059931313925861,2.986131245414937,2.201999005855721,0.013850398623508743,-0.26402503358084367,0.15957240710823034,0.07110696598745585,96,273.36225099998046,0,0,0,cpu,0.0,0.0,99.85780411814042,2.986131245414937,3.059931313925861,0.15957240710823034,-0.26402503358084367,0.07110696598745585,0.022051346140163627,2.2124431550477266,0.0021856861134917282,0.4955080849926015,0.5023062288929067,2.201999005855721,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,2,1.0,0.0,0.0006000000000000001,0.0,2.566613484622041,0.4706445171778571,100.23235429176593,4.730858637393582,4.653432304682565,3.3552507353829846,0.027389957474541593,0.19962813875866373,-0.06432041945988952,0.02288567534690733,96,399.5107979999375,0,0,0,cpu,0.0,0.0,100.23235429176593,4.653432304682565,4.730858637393582,-0.06432041945988952,0.19962813875866373,0.02288567534690733,0.0930034211084768,3.3557078093671375,1.2587535733755885e-17,0.5084432742892672,0.49155672570973286,3.3552507353829846,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,4,1.0,0.0,0.001,0.0,2.3769836542771023,0.053764887220673525,103.71735271762896,4.366919131716837,4.573215208517273,2.7237119678005897,0.0411811790596003,0.11128765905662555,-0.2023895243082893,-0.24907261162171512,96,427.48813200023505,0,0,0,cpu,0.0,0.0,103.71735271762896,4.573215208517273,4.366919131716837,-0.2023895243082893,0.11128765905662555,-0.24907261162171512,0.026260908942448945,2.7402504922621507,0.0026585696099406864,0.488046733041964,0.5092946973470953,2.7237119678005897,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,6,1.0,0.0,0.0009995002498750627,0.0,2.244346815183004,0.3023672130311277,155.02626751387336,4.445734146557165,4.506128101973837,2.8032315765330376,0.03968227518455549,-0.16421249913387403,-0.08502818475704138,-0.17825526411742112,96,398.2151960003648,0,0,0,cpu,0.0,0.0,155.02626751387336,4.506128101973837,4.445734146557165,-0.08502818475704138,-0.16421249913387403,-0.17825526411742112,0.01808227995856363,2.8691353314771404,0.003925979155016693,0.4878617801494388,0.5082122406945444,2.8032315765330376,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,8,1.0,0.0,0.0009985022466300548,0.0,2.1117335745852794,0.030348753520306367,195.10517336604534,3.875295170320244,3.948615315273262,2.042935251921887,0.03860477716519732,0.20286966152284702,-0.05327788369609995,-0.45444060903984423,96,412.0034980001037,0,0,0,cpu,0.0,0.0,195.10517336604534,3.948615315273262,3.875295170320244,-0.05327788369609995,0.20286966152284702,-0.45444060903984423,0.14406906658545166,2.0433874968163606,4.889429817558474e-18,0.4935569965420537,0.5064430034569462,2.042935251921887,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,10,1.0,0.0,0.0009975062344139652,0.0,1.442995570202282,0.06311002840504389,112.1248494175452,2.5678012818248632,2.655407604063436,1.6195172186770803,0.03644368296032144,0.21886288252647945,-0.07352375889417677,-0.2303254172809745,96,412.2086180000224,0,0,0,cpu,0.0,0.0,112.1248494175452,2.655407604063436,2.5678012818248632,-0.07352375889417677,0.21886288252647945,-0.2303254172809745,0.11960449566544358,1.6204797167819818,1.1079190950075169e-18,0.48636993672658413,0.5136300632724159,1.6195172186770803,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,12,1.0,0.0,0.000996512207274539,0.0,2.4763896898078204,0.34894613755716875,104.62025866598238,4.926909021787591,5.068742717168954,3.5235388127871916,0.0352138815677428,0.357041637425189,0.10132558412044938,-0.005311068440621582,96,300.3270220001468,0,0,0,cpu,0.0,0.0,104.62025866598238,5.068742717168954,4.926909021787591,0.10132558412044938,0.357041637425189,-0.005311068440621582,0.32749148334808625,3.5249580185283844,9.285417721351469e-16,0.4858882352995655,0.5141117646994335,3.5235388127871916,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,14,1.0,0.0,0.0009955201592832255,0.0,1.26004784921293,0.018472760955089707,123.1064006886374,2.348016067856293,2.5346441134816953,2.147816894232097,0.03326248546442663,0.4522637313071926,0.39600779727885366,0.5605906939587043,96,300.944698999956,0,0,0,cpu,0.0,0.0,123.1064006886374,2.5346441134816953,2.348016067856293,0.39600779727885366,0.4522637313071926,0.5605906939587043,0.48321890639467463,2.148096665147215,5.9066128206178246e-18,0.41346265836608115,0.5865373416329187,2.147816894232097,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,16,1.0,0.0,0.000994530084535057,0.0,2.3549490172585585,0.025225638114417633,227.92623578141047,4.57159935573817,4.916063648948775,2.153598860832341,0.031556744051825694,-0.009332542586572618,-0.05353142379054493,-0.584050523937383,96,293.8336510001136,0,0,0,cpu,0.0,0.0,227.92623578141047,4.916063648948775,4.57159935573817,-0.05353142379054493,-0.009332542586572618,-0.584050523937383,0.009448666605056761,2.1688118953187367,0.0007380297569161664,0.477255832833644,0.5220061374084398,2.153598860832341,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,18,1.0,0.0,0.0009935419771485345,0.0,1.614566821643214,0.281535775330555,164.32421148176738,2.3924125501126987,2.527686840013919,1.6983988436660309,0.030857301500658876,0.30908561159007997,-0.03637494450857983,-0.04461460184797645,96,297.9258479999771,0,0,0,cpu,0.0,0.0,164.32421148176738,2.527686840013919,2.3924125501126987,-0.03637494450857983,0.30908561159007997,-0.04461460184797645,0.20350069154874426,1.7009736557024244,0.0,0.47369821981345983,0.5263017801855401,1.6983988436660309,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,20,1.0,0.0,0.0009925558312655087,0.0,1.90641330252778,0.24227902398298742,177.45602917022498,3.7818056720103215,3.962759483733872,3.2563134946275407,0.031763519972182554,0.32431255546929577,0.11483528608959456,0.4177497770832599,96,291.2815210002009,0,0,0,cpu,0.0,0.0,177.45602917022498,3.962759483733872,3.7818056720103215,0.11483528608959456,0.32431255546929577,0.4177497770832599,0.2676926986652725,3.2589514389094028,3.599921611815116e-18,0.45992402480636413,0.5400759751926357,3.2563134946275407,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,22,1.0,0.0,0.000991571641051066,0.0,1.4621787054262152,0.25305197146906916,251.12848093127977,2.649184764819263,2.9388365615289826,2.3479876991894173,0.030633905611417312,0.159130745721278,0.18450954290264834,0.42960865578707774,96,315.43757800000094,0,0,0,cpu,0.0,0.0,251.12848093127977,2.9388365615289826,2.649184764819263,0.18450954290264834,0.159130745721278,0.42960865578707774,0.20060237714017262,2.3486651669150227,0.0,0.40973269855111194,0.590267301447888,2.3479876991894173,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,24,1.0,0.0,0.0009905894006934125,0.0,1.7217967078180663,0.49891841490614314,117.25768078122661,3.084001985691385,2.970794541531423,2.2160397475003153,0.030414816141288093,0.41000034384796563,-0.019415837765529853,0.07281615042186279,96,288.2489189996704,0,0,0,cpu,0.0,0.0,117.25768078122661,2.970794541531423,3.084001985691385,-0.019415837765529853,0.41000034384796563,0.07281615042186279,0.2602526384362838,2.2175979298681976,0.0,0.5201573734076657,0.4798426265913342,2.2160397475003153,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,26,1.0,0.0,0.0009896091044037606,0.0,1.346144894462388,0.09377246116479332,114.59486569751384,2.533453823469209,2.444004800199911,1.4911180731308409,0.029579003446727408,-0.174953852485154,0.24619922315565432,-0.2814484449549581,96,294.48407500012763,0,0,0,cpu,0.0,0.0,114.59486569751384,2.444004800199911,2.533453823469209,0.24619922315565432,-0.174953852485154,-0.2814484449549581,0.06296539776988129,1.492164351058421,0.0,0.5140213024590429,0.4859786975399572,1.4911180731308409,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,28,1.0,0.0,0.0009886307464162135,0.0,1.3405144048755606,0.34255047832392144,191.49269921304793,2.3940642036760345,2.6374632354485903,2.163725773720407,0.028935221792983433,0.3210183628617718,0.03580790724027008,0.49672387988656047,96,307.8094429997691,0,0,0,cpu,0.0,0.0,191.49269921304793,2.6374632354485903,2.3940642036760345,0.03580790724027008,0.3210183628617718,0.49672387988656047,0.22915865559298898,2.164581361235915,2.8700698698832e-18,0.40454455523553995,0.5954554447634599,2.163725773720407,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,30,1.0,0.0,0.0009876543209876543,0.0,1.209760404910028,0.13813388549251615,162.98984037289026,1.6502244206999885,1.7251569200349852,1.3234201956577647,0.027375149291489202,0.027020890228165773,-0.03122925756924001,0.23211253067576765,96,293.38531100029286,0,0,0,cpu,0.0,0.0,162.98984037289026,1.7251569200349852,1.6502244206999885,-0.03122925756924001,0.027020890228165773,0.23211253067576765,0.008119768770263438,1.3248591948154544,7.713103305717559e-05,0.4713591315932782,0.5285637373726646,1.3234201956577647,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,32,1.0,0.0,0.0009866798223976318,0.0,1.0001516561269697,0.07151496440077953,152.24284060248786,1.5255232678337758,1.6190588839027233,1.1190309861537042,0.02569766338105725,0.12242119976334757,0.24273538793440622,0.015812550074090673,96,308.1872809998458,0,0,0,cpu,0.0,0.0,152.24284060248786,1.6190588839027233,1.5255232678337758,0.24273538793440622,0.12242119976334757,0.015812550074090673,0.25347998336036737,1.121013394722204,0.0,0.46980466666087733,0.5301953333381226,1.1190309861537042,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,34,1.0,0.0,0.0009857072449482504,0.0,1.2338121949067795,0.08090256359345467,67.69195665997354,1.8444907581329704,1.9218457871908559,1.5035438533771766,0.025162404281924337,0.08244911930387856,-0.23287560811348562,0.29330308475533834,96,293.03375400013465,0,0,0,cpu,0.0,0.0,67.69195665997354,1.9218457871908559,1.8444907581329704,-0.23287560811348562,0.08244911930387856,0.29330308475533834,0.022211558471125475,1.5145176338707727,0.0025999559624859067,0.4907734034568311,0.5066266405796828,1.5035438533771766,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,36,1.0,0.0,0.000984736582964057,0.0,1.3059140351771747,0.2042496967008941,85.26491338195594,1.511958048512547,1.6211522067225423,1.0314557706056857,0.024021836833302904,0.01743897829836324,0.011506955787388851,-0.13003569800467185,96,289.063036999778,0,0,0,cpu,0.0,0.0,85.26491338195594,1.6211522067225423,1.511958048512547,0.011506955787388851,0.01743897829836324,-0.13003569800467185,0.02205465887711429,1.0340076093875217,0.0,0.4691875915960368,0.5308124084029631,1.0314557706056857,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,38,1.0,0.0,0.0009837678307919333,0.0,0.9678309327742459,0.09959604911708528,67.66602461569924,1.7482605338401371,1.6751541940392927,1.3595210902701855,0.023579203755623175,0.1191062285663925,-0.1444963551786244,0.26616532682255384,96,300.4051849998177,0,0,0,cpu,0.0,0.0,67.66602461569924,1.6751541940392927,1.7482605338401371,-0.1444963551786244,0.1191062285663925,0.26616532682255384,0.02009163531998655,1.3621254710832935,0.0008885790339764831,0.5348983283141462,0.46421309265087735,1.3595210902701855,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,40,1.0,0.0,0.0009828009828009828,0.0,1.183366036016018,0.08324022650131907,173.7427679982133,1.8276993100230938,1.9065207620984708,1.2795515485592726,0.023107074650455032,-0.06662829462114339,-0.07743819524215187,-0.04762954098426312,96,294.59525799984476,0,0,0,cpu,0.0,0.0,173.7427679982133,1.9065207620984708,1.8276993100230938,-0.07743819524215187,-0.06662829462114339,-0.04762954098426312,0.007364626933809678,1.2887369268225028,0.0008260020418948187,0.4799714698781531,0.519202528078952,1.2795515485592726,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,42,1.0,0.0,0.0009818360333824251,0.0,0.9137062294243465,0.11314461881330123,139.08159468552387,1.6032116049872227,1.4746338068464795,1.3116949312514996,0.024051656236802728,0.16225131915599894,0.14181156936934414,0.465041479583407,96,310.8718050002608,0,0,0,cpu,0.0,0.0,139.08159468552387,1.4746338068464795,1.6032116049872227,0.14181156936934414,0.16225131915599894,0.465041479583407,0.17584709888430225,1.3117333350895395,4.0868351385500367e-19,0.577719210342518,0.42228078965648197,1.3116949312514996,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,44,1.0,0.0,0.0009808729769494849,0.0,0.8588999417637255,0.1838826655377708,110.47666860988551,1.5164250086834914,1.4252889386650707,1.2741019289596303,0.022897845513256358,0.30768024398877974,0.12267875008877692,0.5080208146020172,96,420.2967300002456,0,0,0,cpu,0.0,0.0,110.47666860988551,1.4252889386650707,1.5164250086834914,0.12267875008877692,0.30768024398877974,0.5080208146020172,0.23734139917413286,1.2741644993921215,8.114376157745485e-19,0.5627866506996927,0.4372133492993071,1.2741019289596303,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,46,1.0,0.0,0.0009799118079372856,0.0,0.7912994406566306,0.110624647849051,260.1064462425102,1.506850815155918,1.4101615379178445,1.248991516307815,0.021954578573186983,-0.1058961056460233,0.1314815486393373,0.4744288914963953,96,405.63300299982075,0,0,0,cpu,0.0,0.0,260.1064462425102,1.4101615379178445,1.506850815155918,0.1314815486393373,-0.1058961056460233,0.4744288914963953,0.02771078075662243,1.249057221061663,2.6199075756585967e-17,0.5628739181133604,0.4371260818856396,1.248991516307815,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,48,1.0,0.0,0.000978952520802741,0.0,0.6484560364904144,0.06866038792908451,69.7204703924128,1.6531276528915166,1.8005378575364037,1.36087993272995,0.02110545534569755,0.3676140858490173,0.2181342963789325,0.2504629298706646,96,386.1479510001118,0,0,0,cpu,0.0,0.0,69.7204703924128,1.8005378575364037,1.6531276528915166,0.2181342963789325,0.3676140858490173,0.2504629298706646,0.37655008717111954,1.361233754451162,0.0,0.44322773604183197,0.5567722639571681,1.36087993272995,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,50,1.0,0.0,0.00097799511002445,0.0,0.9683044601592893,0.13977457026852683,115.0381794998196,1.674442628137935,1.7418285406501877,1.2045900270277716,0.020819139100883986,0.2766495307840259,-0.07270891280939043,-0.0042062882287919314,96,437.8752170000553,0,0,0,cpu,0.0,0.0,115.0381794998196,1.7418285406501877,1.674442628137935,-0.07270891280939043,0.2766495307840259,-0.0042062882287919314,0.14932542426076778,1.2055277606817312,0.0,0.480365059948369,0.519634940050631,1.2045900270277716,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,52,1.0,0.0,0.0009770395701025891,0.0,1.0314741135858476,0.13691376230880745,175.12061213212496,1.9747224752553398,1.8680707399335184,1.3733709001146701,0.020543080204716433,0.3490732149191595,-0.028506829733983677,0.024216877809187357,96,468.5497780001242,0,0,0,cpu,0.0,0.0,175.12061213212496,1.8680707399335184,1.9747224752553398,-0.028506829733983677,0.3490732149191595,0.024216877809187357,0.21620622703747117,1.375489499708198,7.990871721902002e-20,0.528419512468288,0.47158048753071197,1.3733709001146701,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,54,1.0,0.0,0.0009760858955588092,0.0,0.8412118029651496,0.14217254875176707,122.93489074691988,1.4795188028683144,1.557649705599638,1.1857712160579452,0.020279878302316392,0.2512418260142487,-0.06798699611408558,0.2223075561519548,96,327.7259219998996,0,0,0,cpu,0.0,0.0,122.93489074691988,1.557649705599638,1.4795188028683144,-0.06798699611408558,0.2512418260142487,0.2223075561519548,0.1253960159731925,1.1874232653432597,0.0,0.46695584941150203,0.5330441505874979,1.1857712160579452,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,56,1.0,0.0,0.0009751340809361287,0.0,0.5801903289154201,0.056780425331399924,268.9109947086614,1.1617778038042872,1.1698996657884748,0.882563356594901,0.019689853979241497,0.05463575964519731,0.019192647999469608,0.14620534953531164,96,290.52102600007856,0,0,0,cpu,0.0,0.0,268.9109947086614,1.1698996657884748,1.1617778038042872,0.019192647999469608,0.05463575964519731,0.14620534953531164,0.048870594582624494,0.8825852412374177,0.0,0.4959203150568329,0.504079684942167,0.882563356594901,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
md_knapsack,mgda,44,0,0.0,58,1.0,0.0,0.000974184120798831,0.0,0.9026479609301402,0.06350810754981995,66.6093112209651,1.5367079593220747,1.657661999891375,1.0087578269972792,0.0190150308378105,0.008094520901140406,0.16325046850618494,-0.19914245135670866,96,295.9152240000549,0,0,0,cpu,0.0,0.0,66.6093112209651,1.657661999891375,1.5367079593220747,0.16325046850618494,0.008094520901140406,-0.19914245135670866,0.13222403353757814,1.0117740165804443,0.0,0.46845367728374127,0.5315463227152586,1.0087578269972792,mgda,FDFL-MGDA,2.0,mild,0.2,0.5,MGDA
